ORTHOLOG_GRP	NUM_MISSING	ALL_SINGLE	Anasp1	Neosp1	Orpsp1_1	Pirfi3
ORTHO_3817	0	yes	1	1	1	1
ORTHO_3818	0	yes	1	1	1	1
ORTHO_3819	0	yes	1	1	1	1
ORTHO_3820	0	yes	1	1	1	1
ORTHO_3821	0	yes	1	1	1	1
ORTHO_3822	0	yes	1	1	1	1
ORTHO_3824	0	yes	1	1	1	1
ORTHO_3825	0	yes	1	1	1	1
ORTHO_3826	0	yes	1	1	1	1
ORTHO_3827	0	yes	1	1	1	1
ORTHO_3828	0	yes	1	1	1	1
ORTHO_3829	0	yes	1	1	1	1
ORTHO_3830	0	yes	1	1	1	1
ORTHO_3831	0	yes	1	1	1	1
ORTHO_3833	0	yes	1	1	1	1
ORTHO_3834	0	yes	1	1	1	1
ORTHO_3835	0	yes	1	1	1	1
ORTHO_3836	0	yes	1	1	1	1
ORTHO_3837	0	yes	1	1	1	1
ORTHO_3838	0	yes	1	1	1	1
ORTHO_3839	0	yes	1	1	1	1
ORTHO_3840	0	yes	1	1	1	1
ORTHO_3841	0	yes	1	1	1	1
ORTHO_3843	0	yes	1	1	1	1
ORTHO_3844	0	yes	1	1	1	1
ORTHO_3845	0	yes	1	1	1	1
ORTHO_3846	0	yes	1	1	1	1
ORTHO_3847	0	yes	1	1	1	1
ORTHO_3848	0	yes	1	1	1	1
ORTHO_3849	0	yes	1	1	1	1
ORTHO_3851	0	yes	1	1	1	1
ORTHO_3852	0	yes	1	1	1	1
ORTHO_3853	0	yes	1	1	1	1
ORTHO_3854	0	yes	1	1	1	1
ORTHO_3855	0	yes	1	1	1	1
ORTHO_3856	0	yes	1	1	1	1
ORTHO_3857	0	yes	1	1	1	1
ORTHO_3858	0	yes	1	1	1	1
ORTHO_3859	0	yes	1	1	1	1
ORTHO_3860	0	yes	1	1	1	1
ORTHO_3862	0	yes	1	1	1	1
ORTHO_3864	0	yes	1	1	1	1
ORTHO_3865	0	yes	1	1	1	1
ORTHO_3866	0	yes	1	1	1	1
ORTHO_3867	0	yes	1	1	1	1
ORTHO_3868	0	yes	1	1	1	1
ORTHO_3870	0	yes	1	1	1	1
ORTHO_3871	0	yes	1	1	1	1
ORTHO_3872	0	yes	1	1	1	1
ORTHO_3873	0	yes	1	1	1	1
ORTHO_3874	0	yes	1	1	1	1
ORTHO_3876	0	yes	1	1	1	1
ORTHO_3877	0	yes	1	1	1	1
ORTHO_3878	0	yes	1	1	1	1
ORTHO_3879	0	yes	1	1	1	1
ORTHO_3880	0	yes	1	1	1	1
