ORTHOLOG_GRP	NUM_MISSING	ALL_SINGLE	Anasp1	Neosp1	Orpsp1_1	Pirfi3
ORTHO_3881	0	yes	1	1	1	1
ORTHO_3882	0	yes	1	1	1	1
ORTHO_3883	0	yes	1	1	1	1
ORTHO_3884	0	yes	1	1	1	1
ORTHO_3885	0	yes	1	1	1	1
ORTHO_3886	0	yes	1	1	1	1
ORTHO_3887	0	yes	1	1	1	1
ORTHO_3888	0	yes	1	1	1	1
ORTHO_3889	0	yes	1	1	1	1
ORTHO_3890	0	yes	1	1	1	1
ORTHO_3891	0	yes	1	1	1	1
ORTHO_3892	0	yes	1	1	1	1
ORTHO_3893	0	yes	1	1	1	1
ORTHO_3894	0	yes	1	1	1	1
ORTHO_3895	0	yes	1	1	1	1
ORTHO_3896	0	yes	1	1	1	1
ORTHO_3897	0	yes	1	1	1	1
ORTHO_3899	0	yes	1	1	1	1
ORTHO_3900	0	yes	1	1	1	1
ORTHO_3901	0	yes	1	1	1	1
ORTHO_3903	0	yes	1	1	1	1
ORTHO_3904	0	yes	1	1	1	1
ORTHO_3905	0	yes	1	1	1	1
ORTHO_3908	0	yes	1	1	1	1
ORTHO_3909	0	yes	1	1	1	1
ORTHO_3911	0	yes	1	1	1	1
ORTHO_3912	0	yes	1	1	1	1
ORTHO_3913	0	yes	1	1	1	1
ORTHO_3915	0	yes	1	1	1	1
ORTHO_3917	0	yes	1	1	1	1
ORTHO_3918	0	yes	1	1	1	1
ORTHO_3919	0	yes	1	1	1	1
ORTHO_3920	0	yes	1	1	1	1
ORTHO_3921	0	yes	1	1	1	1
ORTHO_3922	0	yes	1	1	1	1
ORTHO_3924	0	yes	1	1	1	1
ORTHO_3926	0	yes	1	1	1	1
ORTHO_3927	0	yes	1	1	1	1
ORTHO_3928	0	yes	1	1	1	1
ORTHO_3929	0	yes	1	1	1	1
ORTHO_3930	0	yes	1	1	1	1
ORTHO_3931	0	yes	1	1	1	1
ORTHO_3932	0	yes	1	1	1	1
ORTHO_3933	0	yes	1	1	1	1
ORTHO_3934	0	yes	1	1	1	1
ORTHO_3935	0	yes	1	1	1	1
ORTHO_3936	0	yes	1	1	1	1
ORTHO_3937	0	yes	1	1	1	1
ORTHO_3938	0	yes	1	1	1	1
ORTHO_3939	0	yes	1	1	1	1
ORTHO_3940	0	yes	1	1	1	1
ORTHO_3941	0	yes	1	1	1	1
ORTHO_3942	0	yes	1	1	1	1
ORTHO_3943	0	yes	1	1	1	1
ORTHO_3944	0	yes	1	1	1	1
ORTHO_3945	0	yes	1	1	1	1
ORTHO_3946	0	yes	1	1	1	1
ORTHO_3947	0	yes	1	1	1	1
ORTHO_3948	0	yes	1	1	1	1
ORTHO_3949	0	yes	1	1	1	1
ORTHO_3950	0	yes	1	1	1	1
ORTHO_3952	0	yes	1	1	1	1
ORTHO_3953	0	yes	1	1	1	1
ORTHO_3954	0	yes	1	1	1	1
ORTHO_3955	0	yes	1	1	1	1
ORTHO_3957	0	yes	1	1	1	1
ORTHO_3958	0	yes	1	1	1	1
ORTHO_3960	0	yes	1	1	1	1
ORTHO_3962	0	yes	1	1	1	1
ORTHO_3963	0	yes	1	1	1	1
ORTHO_3964	0	yes	1	1	1	1
ORTHO_3966	0	yes	1	1	1	1
ORTHO_3967	0	yes	1	1	1	1
ORTHO_3968	0	yes	1	1	1	1
ORTHO_3969	0	yes	1	1	1	1
ORTHO_3970	0	yes	1	1	1	1
ORTHO_3971	0	yes	1	1	1	1
ORTHO_3973	0	yes	1	1	1	1
ORTHO_3974	0	yes	1	1	1	1
ORTHO_3975	0	yes	1	1	1	1
ORTHO_3976	0	yes	1	1	1	1
ORTHO_3979	0	yes	1	1	1	1
ORTHO_3980	0	yes	1	1	1	1
ORTHO_3982	0	yes	1	1	1	1
ORTHO_3983	0	yes	1	1	1	1
ORTHO_3984	0	yes	1	1	1	1
ORTHO_3985	0	yes	1	1	1	1
ORTHO_3986	0	yes	1	1	1	1
ORTHO_3988	0	yes	1	1	1	1
ORTHO_3990	0	yes	1	1	1	1
ORTHO_3991	0	yes	1	1	1	1
ORTHO_3992	0	yes	1	1	1	1
ORTHO_3993	0	yes	1	1	1	1
ORTHO_3994	0	yes	1	1	1	1
ORTHO_3995	0	yes	1	1	1	1
ORTHO_3996	0	yes	1	1	1	1
ORTHO_3998	0	yes	1	1	1	1
ORTHO_3999	0	yes	1	1	1	1
ORTHO_4000	0	yes	1	1	1	1
ORTHO_4001	0	yes	1	1	1	1
ORTHO_4002	0	yes	1	1	1	1
ORTHO_4003	0	yes	1	1	1	1
ORTHO_4004	0	yes	1	1	1	1
ORTHO_4005	0	yes	1	1	1	1
ORTHO_4006	0	yes	1	1	1	1
ORTHO_4007	0	yes	1	1	1	1
ORTHO_4008	0	yes	1	1	1	1
ORTHO_4009	0	yes	1	1	1	1
ORTHO_4010	0	yes	1	1	1	1
ORTHO_4012	0	yes	1	1	1	1
ORTHO_4013	0	yes	1	1	1	1
ORTHO_4015	0	yes	1	1	1	1
ORTHO_4016	0	yes	1	1	1	1
ORTHO_4017	0	yes	1	1	1	1
ORTHO_4018	0	yes	1	1	1	1
ORTHO_4019	0	yes	1	1	1	1
ORTHO_4020	0	yes	1	1	1	1
ORTHO_4021	0	yes	1	1	1	1
ORTHO_4022	0	yes	1	1	1	1
ORTHO_4023	0	yes	1	1	1	1
ORTHO_4024	0	yes	1	1	1	1
ORTHO_4025	0	yes	1	1	1	1
ORTHO_4028	0	yes	1	1	1	1
ORTHO_4029	0	yes	1	1	1	1
ORTHO_4031	0	yes	1	1	1	1
ORTHO_4032	0	yes	1	1	1	1
ORTHO_4033	0	yes	1	1	1	1
ORTHO_4034	0	yes	1	1	1	1
ORTHO_4035	0	yes	1	1	1	1
ORTHO_4036	0	yes	1	1	1	1
ORTHO_4038	0	yes	1	1	1	1
ORTHO_4039	0	yes	1	1	1	1
ORTHO_4040	0	yes	1	1	1	1
ORTHO_4041	0	yes	1	1	1	1
ORTHO_4042	0	yes	1	1	1	1
ORTHO_4043	0	yes	1	1	1	1
ORTHO_4044	0	yes	1	1	1	1
ORTHO_4045	0	yes	1	1	1	1
ORTHO_4046	0	yes	1	1	1	1
ORTHO_4047	0	yes	1	1	1	1
ORTHO_4048	0	yes	1	1	1	1
ORTHO_4049	0	yes	1	1	1	1
ORTHO_4050	0	yes	1	1	1	1
ORTHO_4051	0	yes	1	1	1	1
ORTHO_4053	0	yes	1	1	1	1
ORTHO_4054	0	yes	1	1	1	1
ORTHO_4055	0	yes	1	1	1	1
ORTHO_4057	0	yes	1	1	1	1
ORTHO_4058	0	yes	1	1	1	1
ORTHO_4059	0	yes	1	1	1	1
ORTHO_4060	0	yes	1	1	1	1
ORTHO_4061	0	yes	1	1	1	1
ORTHO_4062	0	yes	1	1	1	1
ORTHO_4063	0	yes	1	1	1	1
ORTHO_4065	0	yes	1	1	1	1
ORTHO_4067	0	yes	1	1	1	1
ORTHO_4068	0	yes	1	1	1	1
ORTHO_4070	0	yes	1	1	1	1
ORTHO_4071	0	yes	1	1	1	1
ORTHO_4072	0	yes	1	1	1	1
ORTHO_4073	0	yes	1	1	1	1
ORTHO_4074	0	yes	1	1	1	1
ORTHO_4075	0	yes	1	1	1	1
ORTHO_4076	0	yes	1	1	1	1
ORTHO_4077	0	yes	1	1	1	1
ORTHO_4136	0	yes	1	1	1	1
ORTHO_4137	0	yes	1	1	1	1
ORTHO_4139	0	yes	1	1	1	1
ORTHO_4140	0	yes	1	1	1	1
ORTHO_4142	0	yes	1	1	1	1
ORTHO_4143	0	yes	1	1	1	1
ORTHO_4145	0	yes	1	1	1	1
ORTHO_4146	0	yes	1	1	1	1
ORTHO_4147	0	yes	1	1	1	1
ORTHO_4148	0	yes	1	1	1	1
ORTHO_4149	0	yes	1	1	1	1
ORTHO_4151	0	yes	1	1	1	1
ORTHO_4152	0	yes	1	1	1	1
ORTHO_4154	0	yes	1	1	1	1
ORTHO_4155	0	yes	1	1	1	1
ORTHO_4156	0	yes	1	1	1	1
ORTHO_4158	0	yes	1	1	1	1
ORTHO_4159	0	yes	1	1	1	1
ORTHO_4160	0	yes	1	1	1	1
ORTHO_4161	0	yes	1	1	1	1
ORTHO_4162	0	yes	1	1	1	1
ORTHO_4163	0	yes	1	1	1	1
ORTHO_4167	0	yes	1	1	1	1
ORTHO_4170	0	yes	1	1	1	1
ORTHO_4172	0	yes	1	1	1	1
ORTHO_4173	0	yes	1	1	1	1
ORTHO_4174	0	yes	1	1	1	1
ORTHO_4175	0	yes	1	1	1	1
ORTHO_4176	0	yes	1	1	1	1
ORTHO_4177	0	yes	1	1	1	1
ORTHO_4178	0	yes	1	1	1	1
ORTHO_4183	0	yes	1	1	1	1
ORTHO_4184	0	yes	1	1	1	1
ORTHO_4185	0	yes	1	1	1	1
ORTHO_4186	0	yes	1	1	1	1
ORTHO_4187	0	yes	1	1	1	1
ORTHO_4188	0	yes	1	1	1	1
ORTHO_4189	0	yes	1	1	1	1
ORTHO_4191	0	yes	1	1	1	1
ORTHO_4192	0	yes	1	1	1	1
ORTHO_4193	0	yes	1	1	1	1
ORTHO_4194	0	yes	1	1	1	1
ORTHO_4195	0	yes	1	1	1	1
ORTHO_4196	0	yes	1	1	1	1
ORTHO_4198	0	yes	1	1	1	1
ORTHO_4199	0	yes	1	1	1	1
ORTHO_4200	0	yes	1	1	1	1
ORTHO_4201	0	yes	1	1	1	1
ORTHO_4202	0	yes	1	1	1	1
ORTHO_4203	0	yes	1	1	1	1
ORTHO_4204	0	yes	1	1	1	1
ORTHO_4205	0	yes	1	1	1	1
ORTHO_4207	0	yes	1	1	1	1
ORTHO_4208	0	yes	1	1	1	1
ORTHO_4209	0	yes	1	1	1	1
ORTHO_4210	0	yes	1	1	1	1
ORTHO_4212	0	yes	1	1	1	1
ORTHO_4213	0	yes	1	1	1	1
ORTHO_4216	0	yes	1	1	1	1
ORTHO_4217	0	yes	1	1	1	1
ORTHO_4218	0	yes	1	1	1	1
ORTHO_4219	0	yes	1	1	1	1
ORTHO_4220	0	yes	1	1	1	1
ORTHO_4222	0	yes	1	1	1	1
ORTHO_4223	0	yes	1	1	1	1
ORTHO_4224	0	yes	1	1	1	1
ORTHO_4225	0	yes	1	1	1	1
ORTHO_4227	0	yes	1	1	1	1
ORTHO_4228	0	yes	1	1	1	1
ORTHO_4229	0	yes	1	1	1	1
ORTHO_4230	0	yes	1	1	1	1
ORTHO_4231	0	yes	1	1	1	1
ORTHO_4232	0	yes	1	1	1	1
ORTHO_4233	0	yes	1	1	1	1
ORTHO_4235	0	yes	1	1	1	1
ORTHO_4236	0	yes	1	1	1	1
ORTHO_4237	0	yes	1	1	1	1
ORTHO_4238	0	yes	1	1	1	1
ORTHO_4239	0	yes	1	1	1	1
ORTHO_4240	0	yes	1	1	1	1
ORTHO_4241	0	yes	1	1	1	1
ORTHO_4242	0	yes	1	1	1	1
ORTHO_4243	0	yes	1	1	1	1
ORTHO_4245	0	yes	1	1	1	1
ORTHO_4246	0	yes	1	1	1	1
ORTHO_4247	0	yes	1	1	1	1
ORTHO_4248	0	yes	1	1	1	1
ORTHO_4249	0	yes	1	1	1	1
ORTHO_4250	0	yes	1	1	1	1
ORTHO_4251	0	yes	1	1	1	1
ORTHO_4252	0	yes	1	1	1	1
ORTHO_4253	0	yes	1	1	1	1
ORTHO_4254	0	yes	1	1	1	1
ORTHO_4255	0	yes	1	1	1	1
ORTHO_4256	0	yes	1	1	1	1
ORTHO_4258	0	yes	1	1	1	1
ORTHO_4261	0	yes	1	1	1	1
ORTHO_4265	0	yes	1	1	1	1
ORTHO_4267	0	yes	1	1	1	1
ORTHO_4268	0	yes	1	1	1	1
ORTHO_4269	0	yes	1	1	1	1
ORTHO_4270	0	yes	1	1	1	1
ORTHO_4272	0	yes	1	1	1	1
ORTHO_4274	0	yes	1	1	1	1
ORTHO_4275	0	yes	1	1	1	1
ORTHO_4276	0	yes	1	1	1	1
ORTHO_4278	0	yes	1	1	1	1
ORTHO_4280	0	yes	1	1	1	1
ORTHO_4282	0	yes	1	1	1	1
ORTHO_4284	0	yes	1	1	1	1
ORTHO_4285	0	yes	1	1	1	1
ORTHO_4286	0	yes	1	1	1	1
ORTHO_4287	0	yes	1	1	1	1
ORTHO_4288	0	yes	1	1	1	1
ORTHO_4289	0	yes	1	1	1	1
ORTHO_4290	0	yes	1	1	1	1
ORTHO_4291	0	yes	1	1	1	1
ORTHO_4292	0	yes	1	1	1	1
ORTHO_4294	0	yes	1	1	1	1
ORTHO_4295	0	yes	1	1	1	1
ORTHO_4296	0	yes	1	1	1	1
ORTHO_4297	0	yes	1	1	1	1
ORTHO_4299	0	yes	1	1	1	1
ORTHO_4300	0	yes	1	1	1	1
ORTHO_4301	0	yes	1	1	1	1
ORTHO_4302	0	yes	1	1	1	1
ORTHO_4303	0	yes	1	1	1	1
ORTHO_4304	0	yes	1	1	1	1
ORTHO_4307	0	yes	1	1	1	1
ORTHO_4308	0	yes	1	1	1	1
ORTHO_4309	0	yes	1	1	1	1
ORTHO_4310	0	yes	1	1	1	1
ORTHO_4311	0	yes	1	1	1	1
ORTHO_4312	0	yes	1	1	1	1
ORTHO_4314	0	yes	1	1	1	1
ORTHO_4315	0	yes	1	1	1	1
ORTHO_4316	0	yes	1	1	1	1
ORTHO_4317	0	yes	1	1	1	1
ORTHO_4318	0	yes	1	1	1	1
ORTHO_4319	0	yes	1	1	1	1
ORTHO_4320	0	yes	1	1	1	1
ORTHO_4321	0	yes	1	1	1	1
ORTHO_4322	0	yes	1	1	1	1
ORTHO_4323	0	yes	1	1	1	1
ORTHO_4324	0	yes	1	1	1	1
ORTHO_4325	0	yes	1	1	1	1
ORTHO_4326	0	yes	1	1	1	1
ORTHO_4327	0	yes	1	1	1	1
ORTHO_4328	0	yes	1	1	1	1
ORTHO_4331	0	yes	1	1	1	1
ORTHO_4333	0	yes	1	1	1	1
ORTHO_4334	0	yes	1	1	1	1
ORTHO_4335	0	yes	1	1	1	1
ORTHO_4336	0	yes	1	1	1	1
ORTHO_4337	0	yes	1	1	1	1
ORTHO_4338	0	yes	1	1	1	1
ORTHO_4339	0	yes	1	1	1	1
ORTHO_4340	0	yes	1	1	1	1
ORTHO_4345	0	yes	1	1	1	1
ORTHO_4347	0	yes	1	1	1	1
ORTHO_4348	0	yes	1	1	1	1
ORTHO_4349	0	yes	1	1	1	1
ORTHO_4350	0	yes	1	1	1	1
ORTHO_4351	0	yes	1	1	1	1
ORTHO_4354	0	yes	1	1	1	1
ORTHO_4355	0	yes	1	1	1	1
ORTHO_4357	0	yes	1	1	1	1
ORTHO_4358	0	yes	1	1	1	1
ORTHO_4359	0	yes	1	1	1	1
ORTHO_4360	0	yes	1	1	1	1
ORTHO_4364	0	yes	1	1	1	1
ORTHO_4365	0	yes	1	1	1	1
ORTHO_4366	0	yes	1	1	1	1
ORTHO_4367	0	yes	1	1	1	1
ORTHO_4369	0	yes	1	1	1	1
ORTHO_4372	0	yes	1	1	1	1
ORTHO_4374	0	yes	1	1	1	1
ORTHO_4375	0	yes	1	1	1	1
ORTHO_4376	0	yes	1	1	1	1
ORTHO_4377	0	yes	1	1	1	1
ORTHO_4378	0	yes	1	1	1	1
ORTHO_4379	0	yes	1	1	1	1
ORTHO_4380	0	yes	1	1	1	1
ORTHO_4381	0	yes	1	1	1	1
ORTHO_4383	0	yes	1	1	1	1
ORTHO_4384	0	yes	1	1	1	1
ORTHO_4387	0	yes	1	1	1	1
ORTHO_4388	0	yes	1	1	1	1
ORTHO_4390	0	yes	1	1	1	1
ORTHO_4391	0	yes	1	1	1	1
ORTHO_4393	0	yes	1	1	1	1
ORTHO_4394	0	yes	1	1	1	1
ORTHO_4396	0	yes	1	1	1	1
ORTHO_4397	0	yes	1	1	1	1
ORTHO_4398	0	yes	1	1	1	1
ORTHO_4399	0	yes	1	1	1	1
ORTHO_4401	0	yes	1	1	1	1
ORTHO_4402	0	yes	1	1	1	1
ORTHO_4403	0	yes	1	1	1	1
ORTHO_4404	0	yes	1	1	1	1
ORTHO_4406	0	yes	1	1	1	1
ORTHO_4409	0	yes	1	1	1	1
ORTHO_4410	0	yes	1	1	1	1
ORTHO_4411	0	yes	1	1	1	1
ORTHO_4412	0	yes	1	1	1	1
ORTHO_4413	0	yes	1	1	1	1
ORTHO_4414	0	yes	1	1	1	1
ORTHO_4415	0	yes	1	1	1	1
ORTHO_4416	0	yes	1	1	1	1
ORTHO_4417	0	yes	1	1	1	1
ORTHO_4418	0	yes	1	1	1	1
ORTHO_4419	0	yes	1	1	1	1
ORTHO_4420	0	yes	1	1	1	1
ORTHO_4422	0	yes	1	1	1	1
ORTHO_4423	0	yes	1	1	1	1
ORTHO_4424	0	yes	1	1	1	1
ORTHO_4425	0	yes	1	1	1	1
ORTHO_4426	0	yes	1	1	1	1
ORTHO_4428	0	yes	1	1	1	1
ORTHO_4429	0	yes	1	1	1	1
ORTHO_4430	0	yes	1	1	1	1
ORTHO_4431	0	yes	1	1	1	1
ORTHO_4432	0	yes	1	1	1	1
ORTHO_4433	0	yes	1	1	1	1
ORTHO_4434	0	yes	1	1	1	1
ORTHO_4435	0	yes	1	1	1	1
ORTHO_4436	0	yes	1	1	1	1
ORTHO_4438	0	yes	1	1	1	1
ORTHO_4439	0	yes	1	1	1	1
ORTHO_4440	0	yes	1	1	1	1
ORTHO_4441	0	yes	1	1	1	1
ORTHO_4442	0	yes	1	1	1	1
ORTHO_4443	0	yes	1	1	1	1
ORTHO_4445	0	yes	1	1	1	1
ORTHO_4447	0	yes	1	1	1	1
ORTHO_4448	0	yes	1	1	1	1
ORTHO_4454	0	yes	1	1	1	1
ORTHO_4456	0	yes	1	1	1	1
ORTHO_4457	0	yes	1	1	1	1
ORTHO_4458	0	yes	1	1	1	1
ORTHO_4461	0	yes	1	1	1	1
ORTHO_4462	0	yes	1	1	1	1
ORTHO_4463	0	yes	1	1	1	1
ORTHO_4464	0	yes	1	1	1	1
ORTHO_4465	0	yes	1	1	1	1
ORTHO_4466	0	yes	1	1	1	1
ORTHO_4469	0	yes	1	1	1	1
ORTHO_4470	0	yes	1	1	1	1
ORTHO_4471	0	yes	1	1	1	1
ORTHO_4472	0	yes	1	1	1	1
ORTHO_4473	0	yes	1	1	1	1
ORTHO_4474	0	yes	1	1	1	1
ORTHO_4475	0	yes	1	1	1	1
ORTHO_4476	0	yes	1	1	1	1
ORTHO_4477	0	yes	1	1	1	1
ORTHO_4479	0	yes	1	1	1	1
ORTHO_4481	0	yes	1	1	1	1
ORTHO_4482	0	yes	1	1	1	1
ORTHO_4487	0	yes	1	1	1	1
ORTHO_4488	0	yes	1	1	1	1
ORTHO_4489	0	yes	1	1	1	1
ORTHO_4491	0	yes	1	1	1	1
ORTHO_4492	0	yes	1	1	1	1
ORTHO_4493	0	yes	1	1	1	1
ORTHO_4494	0	yes	1	1	1	1
ORTHO_4495	0	yes	1	1	1	1
ORTHO_4496	0	yes	1	1	1	1
ORTHO_4498	0	yes	1	1	1	1
ORTHO_4499	0	yes	1	1	1	1
ORTHO_4501	0	yes	1	1	1	1
ORTHO_4503	0	yes	1	1	1	1
ORTHO_4504	0	yes	1	1	1	1
ORTHO_4505	0	yes	1	1	1	1
ORTHO_4506	0	yes	1	1	1	1
ORTHO_4507	0	yes	1	1	1	1
ORTHO_4508	0	yes	1	1	1	1
ORTHO_4509	0	yes	1	1	1	1
ORTHO_4510	0	yes	1	1	1	1
ORTHO_4511	0	yes	1	1	1	1
ORTHO_4513	0	yes	1	1	1	1
ORTHO_4515	0	yes	1	1	1	1
ORTHO_4516	0	yes	1	1	1	1
ORTHO_4518	0	yes	1	1	1	1
ORTHO_4520	0	yes	1	1	1	1
ORTHO_4521	0	yes	1	1	1	1
ORTHO_4522	0	yes	1	1	1	1
ORTHO_4523	0	yes	1	1	1	1
ORTHO_4524	0	yes	1	1	1	1
ORTHO_4525	0	yes	1	1	1	1
ORTHO_4527	0	yes	1	1	1	1
ORTHO_4528	0	yes	1	1	1	1
ORTHO_4529	0	yes	1	1	1	1
ORTHO_4530	0	yes	1	1	1	1
ORTHO_4531	0	yes	1	1	1	1
ORTHO_4532	0	yes	1	1	1	1
ORTHO_4534	0	yes	1	1	1	1
ORTHO_4535	0	yes	1	1	1	1
ORTHO_4536	0	yes	1	1	1	1
ORTHO_4537	0	yes	1	1	1	1
ORTHO_4538	0	yes	1	1	1	1
ORTHO_4539	0	yes	1	1	1	1
ORTHO_4541	0	yes	1	1	1	1
ORTHO_4543	0	yes	1	1	1	1
ORTHO_4544	0	yes	1	1	1	1
ORTHO_4546	0	yes	1	1	1	1
ORTHO_4547	0	yes	1	1	1	1
ORTHO_4548	0	yes	1	1	1	1
ORTHO_4549	0	yes	1	1	1	1
ORTHO_4551	0	yes	1	1	1	1
ORTHO_4553	0	yes	1	1	1	1
ORTHO_4554	0	yes	1	1	1	1
ORTHO_4555	0	yes	1	1	1	1
ORTHO_4556	0	yes	1	1	1	1
ORTHO_4558	0	yes	1	1	1	1
ORTHO_4559	0	yes	1	1	1	1
ORTHO_4561	0	yes	1	1	1	1
ORTHO_4562	0	yes	1	1	1	1
ORTHO_4563	0	yes	1	1	1	1
ORTHO_4564	0	yes	1	1	1	1
ORTHO_4566	0	yes	1	1	1	1
ORTHO_4568	0	yes	1	1	1	1
ORTHO_4569	0	yes	1	1	1	1
ORTHO_4570	0	yes	1	1	1	1
ORTHO_4571	0	yes	1	1	1	1
ORTHO_4572	0	yes	1	1	1	1
ORTHO_4573	0	yes	1	1	1	1
ORTHO_4574	0	yes	1	1	1	1
ORTHO_4575	0	yes	1	1	1	1
ORTHO_4576	0	yes	1	1	1	1
ORTHO_4581	0	yes	1	1	1	1
ORTHO_4582	0	yes	1	1	1	1
ORTHO_4584	0	yes	1	1	1	1
ORTHO_4586	0	yes	1	1	1	1
ORTHO_4587	0	yes	1	1	1	1
ORTHO_4588	0	yes	1	1	1	1
ORTHO_4589	0	yes	1	1	1	1
ORTHO_4590	0	yes	1	1	1	1
ORTHO_4591	0	yes	1	1	1	1
ORTHO_4592	0	yes	1	1	1	1
ORTHO_4593	0	yes	1	1	1	1
ORTHO_4594	0	yes	1	1	1	1
ORTHO_4595	0	yes	1	1	1	1
ORTHO_4596	0	yes	1	1	1	1
ORTHO_4597	0	yes	1	1	1	1
ORTHO_4598	0	yes	1	1	1	1
ORTHO_4602	0	yes	1	1	1	1
ORTHO_4603	0	yes	1	1	1	1
ORTHO_4604	0	yes	1	1	1	1
ORTHO_4605	0	yes	1	1	1	1
ORTHO_4606	0	yes	1	1	1	1
ORTHO_4607	0	yes	1	1	1	1
ORTHO_4609	0	yes	1	1	1	1
ORTHO_4610	0	yes	1	1	1	1
ORTHO_4612	0	yes	1	1	1	1
ORTHO_4613	0	yes	1	1	1	1
ORTHO_4614	0	yes	1	1	1	1
ORTHO_4615	0	yes	1	1	1	1
ORTHO_4616	0	yes	1	1	1	1
ORTHO_4618	0	yes	1	1	1	1
ORTHO_4619	0	yes	1	1	1	1
ORTHO_4620	0	yes	1	1	1	1
ORTHO_4621	0	yes	1	1	1	1
ORTHO_4622	0	yes	1	1	1	1
ORTHO_4624	0	yes	1	1	1	1
ORTHO_4625	0	yes	1	1	1	1
ORTHO_4627	0	yes	1	1	1	1
ORTHO_4628	0	yes	1	1	1	1
ORTHO_4629	0	yes	1	1	1	1
ORTHO_4630	0	yes	1	1	1	1
ORTHO_4631	0	yes	1	1	1	1
ORTHO_4632	0	yes	1	1	1	1
ORTHO_4633	0	yes	1	1	1	1
ORTHO_4634	0	yes	1	1	1	1
ORTHO_4635	0	yes	1	1	1	1
ORTHO_4636	0	yes	1	1	1	1
ORTHO_4637	0	yes	1	1	1	1
ORTHO_4639	0	yes	1	1	1	1
ORTHO_4640	0	yes	1	1	1	1
ORTHO_4641	0	yes	1	1	1	1
ORTHO_4644	0	yes	1	1	1	1
ORTHO_4645	0	yes	1	1	1	1
ORTHO_4646	0	yes	1	1	1	1
ORTHO_4647	0	yes	1	1	1	1
ORTHO_4648	0	yes	1	1	1	1
ORTHO_4651	0	yes	1	1	1	1
ORTHO_4652	0	yes	1	1	1	1
ORTHO_4655	0	yes	1	1	1	1
ORTHO_4656	0	yes	1	1	1	1
ORTHO_4658	0	yes	1	1	1	1
ORTHO_4661	0	yes	1	1	1	1
ORTHO_4663	0	yes	1	1	1	1
ORTHO_4664	0	yes	1	1	1	1
ORTHO_4665	0	yes	1	1	1	1
ORTHO_4666	0	yes	1	1	1	1
ORTHO_4667	0	yes	1	1	1	1
ORTHO_4668	0	yes	1	1	1	1
ORTHO_4671	0	yes	1	1	1	1
ORTHO_4672	0	yes	1	1	1	1
ORTHO_4673	0	yes	1	1	1	1
ORTHO_4676	0	yes	1	1	1	1
ORTHO_4677	0	yes	1	1	1	1
ORTHO_4678	0	yes	1	1	1	1
ORTHO_4680	0	yes	1	1	1	1
ORTHO_4681	0	yes	1	1	1	1
ORTHO_4682	0	yes	1	1	1	1
ORTHO_4684	0	yes	1	1	1	1
ORTHO_4685	0	yes	1	1	1	1
ORTHO_4686	0	yes	1	1	1	1
ORTHO_4688	0	yes	1	1	1	1
