ORTHOMCL	Neosp1	Orpsp1_1	Anasp1	Pirfi3	DOMAINS
ORTHO_00000	6	317	9	2	
ORTHO_00001	233	27	22	0	
ORTHO_00002	6	210	7	3	
ORTHO_00003	5	9	132	1	
ORTHO_00004	47	45	27	16	
ORTHO_00005	92	6	13	7	
ORTHO_00006	47	31	21	16	
ORTHO_00007	103	1	5	0	
ORTHO_00008	60	13	11	16	
ORTHO_00009	31	15	21	19	
ORTHO_00010	77	0	2	0	
ORTHO_00011	9	18	47	0	
ORTHO_00012	23	26	12	12	
ORTHO_00013	2	66	4	1	
ORTHO_00014	66	0	0	0	
ORTHO_00015	48	3	10	0	
ORTHO_00016	6	37	5	13	
ORTHO_00017	33	3	23	1	
ORTHO_00018	17	13	14	10	
ORTHO_00019	6	15	26	6	
ORTHO_00020	49	0	0	0	
ORTHO_00021	23	11	7	8	
ORTHO_00022	20	11	6	12	
ORTHO_00023	25	5	9	7	
ORTHO_00024	11	12	14	9	
ORTHO_00025	1	1	22	22	
ORTHO_00026	8	5	32	1	
ORTHO_00027	30	4	7	4	
ORTHO_00028	20	7	11	7	
ORTHO_00029	25	5	8	7	
ORTHO_00030	18	23	2	1	
ORTHO_00031	42	0	0	0	
ORTHO_00032	4	22	4	10	
ORTHO_00033	26	2	7	4	
ORTHO_00034	8	6	16	9	
ORTHO_00035	15	9	8	7	
ORTHO_00036	17	6	7	9	
ORTHO_00037	0	2	37	0	
ORTHO_00038	16	6	6	10	
ORTHO_00039	12	10	9	7	
ORTHO_00040	3	29	4	2	
ORTHO_00041	8	12	12	5	
ORTHO_00042	11	5	14	7	
ORTHO_00043	36	0	0	0	
ORTHO_00044	10	7	9	10	
ORTHO_00045	13	8	12	3	
ORTHO_00046	9	14	9	3	
ORTHO_00047	14	8	6	6	
ORTHO_00048	12	9	6	7	
ORTHO_00049	18	2	4	10	
ORTHO_00050	0	34	0	0	
ORTHO_00051	13	7	7	6	
ORTHO_00052	24	3	2	4	
ORTHO_00053	0	0	33	0	
ORTHO_00054	32	0	0	0	
ORTHO_00055	32	0	0	0	
ORTHO_00056	8	17	6	1	
ORTHO_00057	7	10	8	7	
ORTHO_00058	9	15	7	1	
ORTHO_00059	14	17	0	0	
ORTHO_00060	24	5	1	1	
ORTHO_00061	1	7	14	9	
ORTHO_00062	11	3	12	5	
ORTHO_00063	5	1	25	0	
ORTHO_00064	10	13	4	4	
ORTHO_00065	0	18	13	0	
ORTHO_00066	11	4	6	9	
ORTHO_00067	3	25	1	1	
ORTHO_00068	17	0	12	0	
ORTHO_00069	0	28	1	0	
ORTHO_00070	8	5	10	5	
ORTHO_00071	28	0	0	0	
ORTHO_00072	12	3	6	7	
ORTHO_00073	16	6	1	5	
