ORTHOMCL	Neosp1	Orpsp1_1	Anasp1	Pirfi3	DOMAINS
ORTHO_00074	7	7	6	8	
ORTHO_00075	0	24	4	0	
ORTHO_00076	23	1	2	1	
ORTHO_00077	6	8	8	5	
ORTHO_00078	7	10	3	7	
ORTHO_00079	26	0	0	0	
ORTHO_00080	21	4	1	0	
ORTHO_00081	14	7	1	4	
ORTHO_00082	0	26	0	0	
ORTHO_00083	25	0	0	0	
ORTHO_00084	15	9	0	1	
ORTHO_00085	23	0	1	1	
ORTHO_00086	13	4	4	4	
ORTHO_00087	5	9	8	3	
ORTHO_00088	12	3	8	1	
ORTHO_00089	6	11	3	4	
ORTHO_00090	12	3	3	6	
ORTHO_00091	21	3	0	0	
ORTHO_00092	7	8	5	3	
ORTHO_00093	10	1	2	10	
ORTHO_00094	18	5	0	0	
ORTHO_00095	13	6	4	0	
ORTHO_00096	22	1	0	0	
ORTHO_00097	14	1	7	1	
ORTHO_00098	1	0	1	21	
ORTHO_00099	12	11	0	0	
ORTHO_00100	0	23	0	0	
ORTHO_00101	8	5	4	5	
ORTHO_00102	12	1	7	2	
ORTHO_00103	9	6	4	3	
ORTHO_00104	0	19	3	0	
ORTHO_00105	21	0	0	0	
ORTHO_00106	10	7	2	2	
ORTHO_00107	3	7	5	6	
ORTHO_00108	7	3	6	5	
ORTHO_00109	2	13	1	5	
ORTHO_00110	2	15	0	4	
ORTHO_00111	1	1	19	0	
ORTHO_00112	0	10	11	0	
ORTHO_00113	6	5	8	1	
ORTHO_00114	12	3	3	2	
ORTHO_00115	10	1	6	3	
ORTHO_00116	11	3	4	2	
ORTHO_00117	20	0	0	0	
ORTHO_00118	12	1	3	4	
ORTHO_00119	8	2	7	3	
ORTHO_00120	9	5	4	2	
ORTHO_00121	8	1	1	10	
ORTHO_00122	9	3	1	7	
ORTHO_00123	5	7	4	4	
ORTHO_00124	5	7	7	1	
ORTHO_00125	6	11	3	0	
ORTHO_00126	8	3	4	4	
ORTHO_00127	6	6	4	3	
ORTHO_00128	6	6	3	4	
ORTHO_00129	6	5	6	2	
ORTHO_00130	8	5	3	3	
ORTHO_00131	8	5	4	2	
ORTHO_00132	7	7	4	1	
ORTHO_00133	5	3	3	8	
ORTHO_00134	5	5	5	4	
ORTHO_00135	8	1	2	8	
ORTHO_00136	6	5	4	4	
ORTHO_00137	8	1	5	5	
ORTHO_00138	1	16	0	2	
ORTHO_00139	3	5	9	2	
ORTHO_00140	5	7	3	4	
ORTHO_00141	8	6	3	2	
ORTHO_00142	2	10	6	1	
ORTHO_00143	0	0	19	0	
ORTHO_00144	16	2	0	0	
ORTHO_00145	6	5	3	4	
ORTHO_00146	11	2	3	2	
ORTHO_00147	12	0	1	5	
ORTHO_00148	18	0	0	0	
ORTHO_00149	9	4	1	4	
ORTHO_00150	7	6	2	3	
ORTHO_00151	1	2	9	6	
ORTHO_00152	9	2	5	2	
ORTHO_00153	3	7	2	6	
ORTHO_00154	10	2	1	5	
ORTHO_00155	6	4	3	5	
ORTHO_00156	5	4	4	4	
ORTHO_00157	14	2	1	0	
ORTHO_00158	10	1	4	2	
ORTHO_00159	5	8	2	2	
ORTHO_00160	17	0	0	0	
ORTHO_00161	8	2	4	3	
ORTHO_00162	6	11	0	0	
ORTHO_00163	2	1	4	10	
ORTHO_00164	5	4	5	3	
ORTHO_00165	4	7	3	3	
ORTHO_00166	5	4	4	4	
ORTHO_00167	6	5	3	3	
ORTHO_00168	5	5	4	3	
ORTHO_00169	0	17	0	0	
ORTHO_00170	0	16	1	0	
ORTHO_00171	11	6	0	0	
ORTHO_00172	6	0	1	9	
ORTHO_00173	7	0	8	1	
ORTHO_00174	9	1	4	2	
ORTHO_00175	7	4	4	1	
ORTHO_00176	16	0	0	0	
ORTHO_00177	6	3	4	3	
ORTHO_00178	8	1	4	3	
ORTHO_00179	7	3	3	3	
ORTHO_00180	3	10	3	0	
ORTHO_00181	2	0	1	13	
ORTHO_00182	0	0	0	16	
ORTHO_00183	1	1	0	14	
ORTHO_00184	0	0	0	16	
ORTHO_00185	6	3	4	3	
ORTHO_00186	5	2	5	4	
ORTHO_00187	5	6	1	4	
ORTHO_00188	6	6	2	2	
ORTHO_00189	2	3	11	0	
ORTHO_00190	3	6	6	1	
ORTHO_00191	0	0	16	0	
ORTHO_00192	6	2	4	3	
ORTHO_00193	11	2	2	0	
ORTHO_00194	15	0	0	0	
ORTHO_00195	6	9	0	0	
ORTHO_00196	10	0	1	4	
ORTHO_00197	15	0	0	0	
ORTHO_00198	7	1	3	4	
ORTHO_00199	6	3	3	3	
ORTHO_00200	10	4	0	1	
ORTHO_00201	6	3	3	3	
ORTHO_00202	6	3	2	4	
ORTHO_00203	3	7	1	4	
ORTHO_00204	6	2	3	4	
ORTHO_00205	9	2	2	2	
ORTHO_00206	4	2	6	3	
ORTHO_00207	6	3	3	3	
ORTHO_00208	6	5	2	2	
ORTHO_00209	5	1	6	3	
ORTHO_00210	0	14	0	1	
ORTHO_00211	2	6	6	1	
ORTHO_00212	0	15	0	0	
ORTHO_00213	0	0	15	0	
ORTHO_00214	6	2	3	3	
ORTHO_00215	6	4	1	3	
ORTHO_00216	5	3	3	3	
ORTHO_00217	9	3	0	2	
ORTHO_00218	6	3	3	2	
ORTHO_00219	3	4	2	5	
ORTHO_00220	2	2	3	7	
ORTHO_00221	1	0	0	13	
ORTHO_00222	5	4	2	3	
ORTHO_00223	5	3	3	3	
ORTHO_00224	2	7	3	2	
ORTHO_00225	7	1	3	3	
ORTHO_00226	4	6	2	2	
ORTHO_00227	1	4	6	3	
ORTHO_00228	10	1	2	1	
ORTHO_00229	6	4	3	1	
ORTHO_00230	1	3	9	1	
ORTHO_00231	12	1	0	0	
ORTHO_00232	6	3	3	1	
ORTHO_00233	8	2	2	1	
ORTHO_00234	5	1	7	0	
ORTHO_00235	6	6	0	1	
ORTHO_00236	4	1	4	4	
ORTHO_00237	4	3	3	3	
ORTHO_00238	5	4	2	2	
ORTHO_00239	4	3	3	3	
ORTHO_00240	12	0	0	1	
ORTHO_00241	9	2	1	1	
ORTHO_00242	7	2	2	2	
ORTHO_00243	13	0	0	0	
ORTHO_00244	2	1	0	10	
ORTHO_00245	2	0	7	4	
ORTHO_00246	3	3	3	4	
ORTHO_00247	4	5	2	2	
ORTHO_00248	5	2	3	3	
ORTHO_00249	2	5	5	1	
ORTHO_00250	3	5	1	4	
ORTHO_00251	2	5	5	1	
ORTHO_00252	6	5	1	1	
ORTHO_00253	0	13	0	0	
ORTHO_00254	2	7	4	0	
ORTHO_00255	4	9	0	0	
ORTHO_00256	1	0	12	0	
ORTHO_00257	6	2	2	2	
ORTHO_00258	5	3	2	2	
ORTHO_00259	4	4	2	2	
ORTHO_00260	7	4	1	0	
ORTHO_00261	11	0	1	0	
ORTHO_00262	12	0	0	0	
ORTHO_00263	3	6	1	2	
ORTHO_00264	8	1	2	1	
ORTHO_00265	7	1	0	4	
ORTHO_00266	4	5	2	1	
ORTHO_00267	3	5	2	2	
ORTHO_00268	4	3	5	0	
ORTHO_00269	4	2	4	2	
ORTHO_00270	2	4	6	0	
ORTHO_00271	4	4	2	2	
ORTHO_00272	4	4	2	2	
ORTHO_00273	12	0	0	0	
ORTHO_00274	4	4	2	2	
ORTHO_00275	7	4	0	1	
ORTHO_00276	11	0	0	1	
ORTHO_00277	12	0	0	0	
ORTHO_00278	2	5	5	0	
ORTHO_00279	4	0	8	0	
ORTHO_00280	3	4	2	3	
ORTHO_00281	0	1	0	11	
ORTHO_00282	1	1	1	9	
ORTHO_00283	3	3	3	3	
ORTHO_00284	5	2	3	2	
ORTHO_00285	3	5	2	2	
ORTHO_00286	6	0	3	3	
ORTHO_00287	3	3	3	3	
ORTHO_00288	3	3	4	2	
ORTHO_00289	3	4	2	3	
ORTHO_00290	1	3	6	2	
ORTHO_00291	6	1	4	1	
ORTHO_00292	4	2	5	1	
ORTHO_00293	0	12	0	0	
ORTHO_00294	2	3	7	0	
ORTHO_00295	1	6	5	0	
ORTHO_00296	8	1	1	1	
ORTHO_00297	11	0	0	0	
ORTHO_00298	7	1	1	2	
ORTHO_00299	5	1	1	4	
ORTHO_00300	6	1	2	2	
ORTHO_00301	4	3	1	3	
ORTHO_00302	7	1	2	1	
ORTHO_00303	3	2	3	3	
ORTHO_00304	8	1	1	1	
ORTHO_00305	5	1	2	3	
ORTHO_00306	7	1	3	0	
ORTHO_00307	4	3	2	2	
ORTHO_00308	6	3	1	1	
ORTHO_00309	5	1	3	2	
ORTHO_00310	7	2	1	1	
ORTHO_00311	5	3	0	3	
ORTHO_00312	1	4	6	0	
ORTHO_00313	7	2	1	1	
ORTHO_00314	1	5	1	4	
ORTHO_00315	4	3	2	2	
ORTHO_00316	0	0	1	10	
ORTHO_00317	1	0	4	6	
ORTHO_00318	2	5	1	3	
ORTHO_00319	3	3	2	3	
ORTHO_00320	3	4	2	2	
ORTHO_00321	1	6	2	2	
ORTHO_00322	5	4	0	2	
ORTHO_00323	3	4	2	2	
ORTHO_00324	4	3	2	2	
ORTHO_00325	4	3	2	2	
ORTHO_00326	1	5	3	2	
ORTHO_00327	2	2	4	3	
ORTHO_00328	2	6	1	2	
ORTHO_00329	5	3	1	2	
ORTHO_00330	4	3	2	2	
ORTHO_00331	4	4	2	1	
ORTHO_00332	5	3	2	1	
ORTHO_00333	3	4	2	2	
ORTHO_00334	5	2	2	2	
ORTHO_00335	4	3	2	2	
ORTHO_00336	6	2	2	1	
ORTHO_00337	0	11	0	0	
ORTHO_00338	1	10	0	0	
ORTHO_00339	0	11	0	0	
ORTHO_00340	11	0	0	0	
ORTHO_00341	0	0	11	0	
ORTHO_00342	10	0	0	0	
ORTHO_00343	4	2	2	2	
ORTHO_00344	4	2	2	2	
ORTHO_00345	10	0	0	0	
ORTHO_00346	4	1	3	2	
ORTHO_00347	10	0	0	0	
ORTHO_00348	8	1	1	0	
ORTHO_00349	10	0	0	0	
ORTHO_00350	3	3	2	2	
ORTHO_00351	2	3	2	3	
ORTHO_00352	10	0	0	0	
ORTHO_00353	10	0	0	0	
ORTHO_00354	10	0	0	0	
ORTHO_00355	10	0	0	0	
ORTHO_00356	4	1	3	2	
ORTHO_00357	10	0	0	0	
ORTHO_00358	7	2	0	1	
ORTHO_00359	4	1	2	3	
ORTHO_00360	4	2	2	2	
ORTHO_00361	5	1	2	2	
ORTHO_00362	7	0	3	0	
ORTHO_00363	10	0	0	0	
ORTHO_00364	7	1	2	0	
ORTHO_00365	4	3	2	1	
ORTHO_00366	6	0	2	2	
ORTHO_00367	3	3	2	2	
ORTHO_00368	3	5	1	1	
ORTHO_00369	3	2	3	2	
ORTHO_00370	1	4	3	2	
ORTHO_00371	4	1	2	3	
ORTHO_00372	3	5	0	2	
ORTHO_00373	4	1	3	2	
ORTHO_00374	0	6	0	4	
ORTHO_00375	3	3	3	1	
ORTHO_00376	4	2	2	2	
ORTHO_00377	4	2	2	2	
ORTHO_00378	4	1	2	3	
ORTHO_00379	0	0	0	10	
ORTHO_00380	0	1	0	9	
ORTHO_00381	3	3	2	2	
ORTHO_00382	9	0	0	1	
ORTHO_00383	2	4	2	2	
ORTHO_00384	0	0	0	10	
ORTHO_00385	2	2	2	4	
ORTHO_00386	2	4	2	2	
ORTHO_00387	0	1	4	5	
ORTHO_00388	1	1	0	8	
ORTHO_00389	2	4	2	2	
ORTHO_00390	2	4	2	2	
ORTHO_00391	4	3	1	2	
ORTHO_00392	4	2	2	2	
ORTHO_00393	4	2	2	2	
ORTHO_00394	6	1	1	2	
ORTHO_00395	2	4	2	2	
ORTHO_00396	3	1	4	2	
ORTHO_00397	3	0	3	4	
ORTHO_00398	2	4	1	3	
ORTHO_00399	4	2	2	2	
ORTHO_00400	0	7	0	3	
ORTHO_00401	4	2	2	2	
ORTHO_00402	4	2	2	2	
ORTHO_00403	2	1	5	2	
ORTHO_00404	3	3	2	2	
ORTHO_00405	4	2	2	2	
ORTHO_00406	1	4	2	3	
ORTHO_00407	6	1	1	2	
ORTHO_00408	3	4	2	1	
ORTHO_00409	2	4	1	3	
ORTHO_00410	2	4	3	1	
ORTHO_00411	3	3	2	2	
ORTHO_00412	4	2	2	2	
ORTHO_00413	3	3	2	2	
ORTHO_00414	2	6	0	2	
ORTHO_00415	3	3	1	3	
ORTHO_00416	3	5	1	1	
ORTHO_00417	1	1	8	0	
ORTHO_00418	6	2	1	1	
ORTHO_00419	4	2	2	2	
ORTHO_00420	2	2	5	1	
ORTHO_00421	3	3	2	2	
ORTHO_00422	1	7	1	1	
ORTHO_00423	3	4	2	1	
ORTHO_00424	4	2	4	0	
ORTHO_00425	3	1	5	1	
ORTHO_00426	2	8	0	0	
ORTHO_00427	0	10	0	0	
ORTHO_00428	0	10	0	0	
ORTHO_00429	0	4	6	0	
ORTHO_00430	0	4	6	0	
ORTHO_00431	2	6	2	0	
ORTHO_00432	3	3	4	0	
ORTHO_00433	7	1	2	0	
ORTHO_00434	2	1	7	0	
ORTHO_00435	10	0	0	0	
ORTHO_00436	10	0	0	0	
ORTHO_00437	0	0	10	0	
ORTHO_00438	8	1	0	0	
ORTHO_00439	3	3	1	2	
ORTHO_00440	2	1	3	3	
ORTHO_00441	3	2	2	2	
ORTHO_00442	9	0	0	0	
ORTHO_00443	4	1	2	2	
ORTHO_00444	2	3	2	2	
ORTHO_00445	4	2	2	1	
ORTHO_00446	4	1	1	3	
ORTHO_00447	5	0	2	2	
ORTHO_00448	2	2	5	0	
ORTHO_00449	3	4	1	1	
ORTHO_00450	3	3	3	0	
ORTHO_00451	4	1	2	2	
ORTHO_00452	4	1	2	2	
ORTHO_00453	6	0	2	1	
ORTHO_00454	4	1	2	2	
ORTHO_00455	4	3	1	1	
ORTHO_00456	5	2	1	1	
ORTHO_00457	4	1	2	2	
ORTHO_00458	9	0	0	0	
ORTHO_00459	3	3	1	2	
ORTHO_00460	4	5	0	0	
ORTHO_00461	8	1	0	0	
ORTHO_00462	2	4	1	2	
ORTHO_00463	9	0	0	0	
ORTHO_00464	4	1	2	2	
ORTHO_00465	3	1	3	2	
ORTHO_00466	9	0	0	0	
ORTHO_00467	4	1	2	2	
ORTHO_00468	2	4	1	2	
ORTHO_00469	4	2	1	2	
ORTHO_00470	3	4	1	1	
ORTHO_00471	1	6	1	1	
ORTHO_00472	3	3	2	1	
ORTHO_00473	2	2	1	4	
ORTHO_00474	0	0	0	9	
ORTHO_00475	1	2	2	4	
ORTHO_00476	2	2	2	3	
ORTHO_00477	2	1	2	4	
ORTHO_00478	0	0	0	9	
ORTHO_00479	1	4	0	4	
ORTHO_00480	3	2	2	2	
ORTHO_00481	4	0	1	4	
ORTHO_00482	4	1	2	2	
ORTHO_00483	1	4	1	3	
ORTHO_00484	2	0	2	5	
ORTHO_00485	3	4	0	2	
ORTHO_00486	0	0	0	9	
ORTHO_00487	4	1	2	2	
ORTHO_00488	2	1	2	4	
ORTHO_00489	3	3	0	3	
ORTHO_00490	4	1	2	2	
ORTHO_00491	2	1	3	3	
ORTHO_00492	1	1	3	4	
ORTHO_00493	3	1	2	3	
ORTHO_00494	2	3	2	2	
ORTHO_00495	3	2	2	2	
ORTHO_00496	4	1	2	2	
ORTHO_00497	4	1	2	2	
ORTHO_00498	3	2	2	2	
ORTHO_00499	3	2	2	2	
ORTHO_00500	3	2	2	2	
ORTHO_00501	3	2	2	2	
ORTHO_00502	0	1	6	2	
ORTHO_00503	2	4	1	2	
ORTHO_00504	4	2	1	2	
ORTHO_00505	5	0	2	2	
ORTHO_00506	2	3	2	2	
ORTHO_00507	3	3	2	1	
ORTHO_00508	0	1	2	6	
ORTHO_00509	2	5	1	1	
ORTHO_00510	4	2	1	2	
ORTHO_00511	3	2	2	2	
ORTHO_00512	6	1	1	1	
ORTHO_00513	2	4	1	2	
ORTHO_00514	5	1	2	1	
ORTHO_00515	4	2	1	2	
ORTHO_00516	3	4	1	1	
ORTHO_00517	2	4	1	2	
ORTHO_00518	3	4	1	1	
ORTHO_00519	3	4	1	1	
ORTHO_00520	3	3	1	2	
ORTHO_00521	3	3	2	1	
ORTHO_00522	4	1	2	2	
ORTHO_00523	4	2	1	2	
ORTHO_00524	3	2	2	2	
ORTHO_00525	5	2	1	1	
ORTHO_00526	3	2	2	2	
ORTHO_00527	4	1	2	2	
ORTHO_00528	4	1	3	1	
ORTHO_00529	6	3	0	0	
ORTHO_00530	2	3	2	2	
ORTHO_00531	3	2	3	1	
ORTHO_00532	0	9	0	0	
ORTHO_00533	8	1	0	0	
ORTHO_00534	3	1	5	0	
ORTHO_00535	9	0	0	0	
ORTHO_00536	0	0	9	0	
ORTHO_00537	0	0	9	0	
ORTHO_00538	0	0	9	0	
ORTHO_00539	0	0	9	0	
ORTHO_00540	3	3	1	1	
ORTHO_00541	5	1	1	1	
ORTHO_00542	3	2	2	1	
ORTHO_00543	6	1	0	1	
ORTHO_00544	3	3	1	1	
ORTHO_00545	4	2	1	1	
ORTHO_00546	3	2	1	2	
ORTHO_00547	4	0	2	2	
ORTHO_00548	8	0	0	0	
ORTHO_00549	8	0	0	0	
ORTHO_00550	5	0	3	0	
ORTHO_00551	5	0	0	3	
ORTHO_00552	2	2	2	2	
ORTHO_00553	2	3	2	1	
ORTHO_00554	2	4	1	1	
ORTHO_00555	2	3	2	1	
ORTHO_00556	4	2	2	0	
ORTHO_00557	4	1	1	2	
ORTHO_00558	6	2	0	0	
ORTHO_00559	4	2	2	0	
ORTHO_00560	7	1	0	0	
ORTHO_00561	3	2	2	1	
ORTHO_00562	4	3	0	1	
ORTHO_00563	8	0	0	0	
ORTHO_00564	8	0	0	0	
ORTHO_00565	4	1	3	0	
ORTHO_00566	4	1	1	2	
ORTHO_00567	2	4	1	1	
ORTHO_00568	3	2	1	2	
ORTHO_00569	8	0	0	0	
ORTHO_00570	4	1	1	2	
ORTHO_00571	3	3	1	1	
ORTHO_00572	5	1	1	1	
ORTHO_00573	2	2	2	2	
ORTHO_00574	3	2	1	2	
ORTHO_00575	2	2	3	1	
ORTHO_00576	2	4	1	1	
ORTHO_00577	2	2	3	1	
ORTHO_00578	3	3	1	1	
ORTHO_00579	2	0	0	6	
ORTHO_00580	1	5	2	0	
ORTHO_00581	2	3	2	1	
ORTHO_00582	2	2	1	3	
ORTHO_00583	1	2	5	0	
ORTHO_00584	3	2	2	1	
ORTHO_00585	3	1	3	1	
ORTHO_00586	2	3	2	1	
ORTHO_00587	1	1	5	1	
ORTHO_00588	3	2	1	2	
ORTHO_00589	3	1	2	2	
ORTHO_00590	0	0	0	8	
ORTHO_00591	2	2	2	2	
ORTHO_00592	1	5	0	2	
ORTHO_00593	3	2	1	2	
ORTHO_00594	1	1	3	3	
ORTHO_00595	1	1	2	4	
ORTHO_00596	3	1	2	2	
ORTHO_00597	4	0	2	2	
ORTHO_00598	3	1	2	2	
ORTHO_00599	0	0	1	7	
ORTHO_00600	2	1	3	2	
ORTHO_00601	0	0	0	8	
ORTHO_00602	2	1	1	4	
ORTHO_00603	2	1	3	2	
ORTHO_00604	1	4	1	2	
ORTHO_00605	4	0	2	2	
ORTHO_00606	3	1	2	2	
ORTHO_00607	4	1	1	2	
ORTHO_00608	2	2	2	2	
ORTHO_00609	1	4	1	2	
ORTHO_00610	1	2	3	2	
ORTHO_00611	2	4	1	1	
ORTHO_00612	1	4	2	1	
ORTHO_00613	3	3	1	1	
ORTHO_00614	1	3	3	1	
ORTHO_00615	0	7	0	1	
ORTHO_00616	4	0	3	1	
ORTHO_00617	3	1	2	2	
ORTHO_00618	4	2	1	1	
ORTHO_00619	4	1	1	2	
ORTHO_00620	3	3	1	1	
ORTHO_00621	3	2	1	2	
ORTHO_00622	2	3	2	1	
ORTHO_00623	3	2	1	2	
ORTHO_00624	2	2	2	2	
ORTHO_00625	2	1	4	1	
ORTHO_00626	2	2	2	2	
ORTHO_00627	3	1	2	2	
ORTHO_00628	5	1	2	0	
ORTHO_00629	3	3	1	1	
ORTHO_00630	2	3	2	1	
ORTHO_00631	4	1	1	2	
ORTHO_00632	1	2	4	1	
ORTHO_00633	2	4	1	1	
ORTHO_00634	3	3	1	1	
ORTHO_00635	2	5	0	1	
ORTHO_00636	2	2	1	3	
ORTHO_00637	3	2	2	1	
ORTHO_00638	2	4	1	1	
ORTHO_00639	4	1	2	1	
ORTHO_00640	2	3	1	2	
ORTHO_00641	3	1	2	2	
ORTHO_00642	4	2	1	1	
ORTHO_00643	5	2	0	1	
ORTHO_00644	2	2	3	1	
ORTHO_00645	2	4	1	1	
ORTHO_00646	2	1	4	1	
ORTHO_00647	1	2	4	1	
ORTHO_00648	2	4	1	1	
ORTHO_00649	5	1	1	1	
ORTHO_00650	2	4	1	1	
ORTHO_00651	1	5	1	1	
ORTHO_00652	2	2	2	2	
ORTHO_00653	2	4	1	1	
ORTHO_00654	2	2	3	1	
ORTHO_00655	2	4	1	1	
ORTHO_00656	2	2	2	2	
ORTHO_00657	2	4	1	1	
ORTHO_00658	2	3	2	1	
ORTHO_00659	2	4	1	1	
ORTHO_00660	1	5	1	1	
ORTHO_00661	2	2	2	2	
ORTHO_00662	2	3	2	1	
ORTHO_00663	3	2	2	1	
ORTHO_00664	2	1	3	2	
ORTHO_00665	1	3	3	1	
ORTHO_00666	0	8	0	0	
ORTHO_00667	1	7	0	0	
ORTHO_00668	0	8	0	0	
ORTHO_00669	0	8	0	0	
ORTHO_00670	2	3	3	0	
ORTHO_00671	0	5	3	0	
ORTHO_00672	0	4	4	0	
ORTHO_00673	3	2	3	0	
ORTHO_00674	0	8	0	0	
ORTHO_00675	0	2	6	0	
ORTHO_00676	5	3	0	0	
ORTHO_00677	3	2	3	0	
ORTHO_00678	0	0	8	0	
ORTHO_00679	5	1	2	0	
ORTHO_00680	8	0	0	0	
ORTHO_00681	8	0	0	0	
ORTHO_00682	0	0	8	0	
ORTHO_00683	5	0	1	1	
ORTHO_00684	3	1	2	1	
ORTHO_00685	3	2	1	1	
ORTHO_00686	2	2	2	1	
ORTHO_00687	5	1	0	1	
ORTHO_00688	2	2	2	1	
ORTHO_00689	2	2	2	1	
ORTHO_00690	3	2	1	1	
ORTHO_00691	3	2	1	1	
ORTHO_00692	3	2	1	1	
ORTHO_00693	2	3	1	1	
ORTHO_00694	7	0	0	0	
ORTHO_00695	4	1	1	1	
ORTHO_00696	3	2	1	1	
ORTHO_00697	2	1	2	2	
ORTHO_00698	2	3	1	1	
ORTHO_00699	6	0	1	0	
ORTHO_00700	2	2	1	2	
ORTHO_00701	3	3	1	0	
ORTHO_00702	3	2	1	1	
ORTHO_00703	2	2	1	2	
ORTHO_00704	2	3	1	1	
ORTHO_00705	4	1	1	1	
ORTHO_00706	3	0	3	1	
ORTHO_00707	3	2	1	1	
ORTHO_00708	6	0	1	0	
ORTHO_00709	2	3	1	1	
ORTHO_00710	2	3	1	1	
ORTHO_00711	2	3	1	1	
ORTHO_00712	2	3	1	1	
ORTHO_00713	3	2	1	1	
ORTHO_00714	2	3	1	1	
ORTHO_00715	2	3	1	1	
ORTHO_00716	2	2	2	1	
ORTHO_00717	3	1	2	1	
ORTHO_00718	2	3	1	1	
ORTHO_00719	2	1	2	2	
ORTHO_00720	2	2	1	2	
ORTHO_00721	3	2	1	1	
ORTHO_00722	2	2	1	2	
ORTHO_00723	2	1	1	3	
ORTHO_00724	2	2	1	2	
ORTHO_00725	2	1	2	2	
ORTHO_00726	2	1	3	1	
ORTHO_00727	4	0	2	1	
ORTHO_00728	3	2	1	1	
ORTHO_00729	2	2	2	1	
ORTHO_00730	1	2	3	1	
ORTHO_00731	2	3	1	1	
ORTHO_00732	2	3	1	1	
ORTHO_00733	3	1	2	1	
ORTHO_00734	2	2	1	2	
ORTHO_00735	1	4	1	1	
ORTHO_00736	1	3	3	0	
ORTHO_00737	2	2	1	2	
ORTHO_00738	1	1	0	5	
ORTHO_00739	1	2	0	4	
ORTHO_00740	2	2	1	2	
ORTHO_00741	2	2	1	2	
ORTHO_00742	0	0	0	7	
ORTHO_00743	0	0	0	7	
ORTHO_00744	4	1	0	2	
ORTHO_00745	1	1	1	4	
ORTHO_00746	3	1	1	2	
ORTHO_00747	1	4	0	2	
ORTHO_00748	2	2	1	2	
ORTHO_00749	2	1	1	3	
ORTHO_00750	0	0	0	7	
ORTHO_00751	0	0	0	7	
ORTHO_00752	2	1	1	3	
ORTHO_00753	2	1	2	2	
ORTHO_00754	1	2	1	3	
ORTHO_00755	2	1	1	3	
ORTHO_00756	3	0	0	4	
ORTHO_00757	2	0	1	4	
ORTHO_00758	2	1	1	3	
ORTHO_00759	0	3	2	2	
ORTHO_00760	1	0	1	5	
ORTHO_00761	1	2	2	2	
ORTHO_00762	0	4	1	2	
ORTHO_00763	3	1	1	2	
ORTHO_00764	2	0	2	3	
ORTHO_00765	1	3	0	3	
ORTHO_00766	1	1	2	3	
ORTHO_00767	5	0	0	2	
ORTHO_00768	2	1	1	3	
ORTHO_00769	1	1	3	2	
ORTHO_00770	1	1	2	3	
ORTHO_00771	2	2	1	2	
