DOMAIN	Anaeromyces-like_sp_C3J_Trinity	Anaeromyces_robustus_S4	Anaeromyces_sp_C3G_Trinity	Anaeromyces_sp_G3G_Trinity	Anaeromyces_sp_Na_Trinity	Anaeromyces_sp_O2_Trinity	Caecomyces_sp_Brit4_Trinity	Caecomyces_sp_Iso3_Trinity	Chytriomyces_sp_MP71	Entophlyctis_helioformis_JEL805	Gaertneriomyces_semiglobifer_Barr_43	Gonapodya_prolifera_JEL478	Neocallimastix_californiae_G1	Neocallimastix_frontalis_Hef5_Trinity	Neocallimastix_sp_G3_Trinity	Orpinomyces_sp_D3A_Trinity	Orpinomyces_sp_D3B_Trinity	Orpinomyces_sp_D4C_Trinity	Pecoramyces_ruminantium_C1A	Pecoramyces_sp_FS3C_Trinity	Pecoramyces_sp_FX4B_Trinity	Pecoramyces_sp_S4B_Trinity	Pecoramyces_sp_YC3_Trinity	Piromyces_finnis	Piromyces_sp_A1_Trinity	Piromyces_sp_B4_Trinity	Piromyces_sp_B5_Trinity	Piromyces_sp_E2	Rhizoclosmatium_globosum_primary	Feramyces_austinii_WSF2c_Trinity	Feramyces_austinii_WSF3a_Trinity
S09X	75	52	46	50	62	95	22	60	10	16	14	31	83	114	73	29	47	35	67	64	75	72	65	36	66	97	79	66	10	72	62
S08A	131	139	59	62	131	150	24	103	12	7	9	4	45	59	30	17	54	28	73	49	43	58	57	24	55	89	82	65	11	22	31
M13	98	31	57	72	55	86	43	83	3	1	3	4	20	77	90	24	53	57	79	53	56	45	51	9	182	68	68	29	6	37	50
C19	76	17	47	68	49	70	34	85	21	17	15	21	27	97	72	41	40	48	22	52	38	45	43	15	59	132	54	13	15	32	35
T01A	51	12	25	84	46	100	34	51	21	14	13	15	26	65	50	47	54	51	10	48	40	36	41	14	55	78	57	10	12	30	55
C14B	42	10	16	45	41	43	20	45	6	3	2	6	21	107	45	55	42	56	11	42	43	31	30	12	37	41	48	12	5	29	37
C26	31	8	10	41	33	26	13	34	9	8	8	12	15	44	24	33	24	31	9	17	21	12	14	9	21	87	37	8	9	15	24
I04	30	12	29	30	23	31	68	131	0	0	0	2	12	48	17	2	3	3	4	10	9	17	10	0	50	63	43	13	0	3	8
S33	17	6	10	8	14	26	9	24	33	29	15	39	13	57	33	11	15	16	6	18	18	16	18	5	34	74	36	8	34	16	18
S54	25	9	15	17	21	21	11	22	3	5	4	4	16	43	22	16	20	16	8	34	32	17	21	8	33	48	26	6	3	21	20
M67A	43	5	12	53	33	48	17	34	7	6	5	6	8	19	19	19	16	30	4	20	12	10	13	6	21	26	38	4	5	14	15
M03A	39	8	19	44	34	48	10	22	4	1	2	3	7	31	14	11	10	13	13	17	11	12	18	5	42	31	12	9	4	14	19
M01	24	6	11	17	20	27	2	19	10	4	4	4	17	34	19	5	11	9	8	8	7	29	10	4	51	30	4	5	13	15	11
S09C	18	6	11	14	23	16	5	16	13	9	5	11	8	19	9	5	3	5	3	5	6	11	11	4	12	26	4	2	12	12	12
S10	10	2	3	14	10	11	11	13	14	3	3	3	4	12	10	31	26	6	2	9	14	9	11	2	4	17	28	1	12	10	10
C44	24	3	4	26	24	24	3	6	6	5	5	5	5	5	8	30	7	6	2	4	2	19	5	3	6	34	12	3	6	5	6
M18	16	4	10	20	12	17	9	13	2	0	1	1	3	12	9	12	8	6	3	11	14	2	11	2	8	26	18	3	1	10	11
M24A	17	3	7	15	8	15	12	11	2	4	3	3	4	10	5	12	11	16	5	12	11	6	6	2	14	20	7	3	2	12	8
M17	19	3	4	4	7	7	8	16	3	3	3	3	3	10	5	20	10	6	4	20	9	8	9	2	12	31	8	3	4	9	15
M24X	27	3	5	29	17	15	2	8	4	2	3	3	5	11	12	8	9	10	3	15	9	11	12	3	4	20	3	3	3	4	9
M67X	25	3	5	18	32	21	11	9	3	2	3	1	5	10	12	12	7	5	1	7	12	14	4	2	6	7	2	3	2	5	7
M16B	13	2	4	11	11	10	8	9	3	3	4	3	2	11	9	5	4	3	2	19	6	7	9	2	10	20	15	2	3	9	12
