DOMAIN	Anaeromyces-like_sp_C3J_Trinity	Anaeromyces_robustus_S4	Anaeromyces_sp_C3G_Trinity	Anaeromyces_sp_G3G_Trinity	Anaeromyces_sp_Na_Trinity	Anaeromyces_sp_O2_Trinity	Caecomyces_sp_Brit4_Trinity	Caecomyces_sp_Iso3_Trinity	Chytriomyces_sp_MP71	Entophlyctis_helioformis_JEL805	Gaertneriomyces_semiglobifer_Barr_43	Gonapodya_prolifera_JEL478	Neocallimastix_californiae_G1	Neocallimastix_frontalis_Hef5_Trinity	Neocallimastix_sp_G3_Trinity	Orpinomyces_sp_D3A_Trinity	Orpinomyces_sp_D3B_Trinity	Orpinomyces_sp_D4C_Trinity	Pecoramyces_ruminantium_C1A	Pecoramyces_sp_FS3C_Trinity	Pecoramyces_sp_FX4B_Trinity	Pecoramyces_sp_S4B_Trinity	Pecoramyces_sp_YC3_Trinity	Piromyces_finnis	Piromyces_sp_A1_Trinity	Piromyces_sp_B4_Trinity	Piromyces_sp_B5_Trinity	Piromyces_sp_E2	Rhizoclosmatium_globosum_primary	Feramyces_austinii_WSF2c_Trinity	Feramyces_austinii_WSF3a_Trinity
A01A	2	1	1	22	26	2	0	5	34	10	6	6	2	7	7	6	8	6	0	3	3	1	3	1	3	24	9	1	27	3	5
M41	9	2	3	7	8	7	5	10	2	2	2	2	3	6	5	4	8	6	1	5	4	9	4	2	5	26	25	2	2	4	9
C12	9	2	6	9	11	13	5	12	1	2	2	3	4	7	5	11	11	9	1	10	4	5	5	2	9	12	0	0	2	12	4
M38	15	1	4	5	9	10	5	11	9	2	3	6	1	16	8	5	4	5	2	4	3	4	2	1	3	15	18	1	7	3	6
M24B	6	1	5	4	6	7	4	21	5	5	4	4	3	21	5	4	4	3	2	5	2	5	2	2	7	7	7	1	8	7	7
A22A	9	2	3	11	6	8	5	11	2	1	1	1	4	19	11	5	5	7	2	9	8	6	4	2	6	15	4	1	2	6	5
M36	8	3	6	6	4	7	8	11	12	3	5	1	6	16	8	0	1	1	2	3	2	6	3	10	2	10	7	14	3	3	6
M16C	6	2	2	0	1	4	5	29	2	2	2	1	3	4	4	5	1	3	3	3	1	4	3	2	15	5	0	1	2	5	5
C56	5	2	2	4	12	15	1	5	3	0	3	3	3	14	4	4	6	7	2	3	2	10	3	2	7	6	2	1	3	2	4
M16A	8	2	4	7	6	12	2	5	2	3	2	3	2	14	6	0	1	4	4	8	7	3	3	2	3	2	0	2	2	6	11
S14	8	1	3	8	4	12	4	12	2	1	1	2	2	4	2	5	8	8	0	8	2	3	3	1	6	11	7	0	1	2	3
C48	7	2	6	8	6	17	1	6	5	4	4	3	4	13	6	3	3	2	4	4	2	3	4	3	2	1	0	1	4	1	4
A28	4	0	5	6	6	5	1	4	0	0	0	0	0	3	3	1	3	4	1	6	5	3	8	1	4	25	17	0	0	2	2
S09B	5	1	2	3	2	4	2	6	1	3	2	1	2	6	36	3	2	3	1	3	4	4	4	1	4	6	2	1	1	6	3
S09A	5	1	4	3	6	9	3	5	5	7	6	3	1	3	1	3	2	2	1	7	2	1	3	1	3	11	2	1	7	5	4
S08B	1	3	2	0	2	2	4	8	5	2	2	2	5	10	9	1	3	2	3	1	4	2	4	3	1	4	2	3	8	5	4
S26B	4	2	2	10	4	5	3	5	2	2	1	2	2	8	3	6	3	4	2	2	6	3	6	2	4	6	0	2	2	3	4
M20C	4	0	1	5	3	2	0	0	0	0	0	0	6	7	5	16	13	9	2	4	5	7	11	0	0	0	1	0	0	2	6
S59	3	2	2	2	2	6	2	7	1	1	0	1	3	6	9	4	3	2	2	5	2	3	1	2	3	10	11	2	1	1	1
M20D	3	1	1	4	3	4	4	7	1	1	0	3	2	6	12	2	1	1	0	3	5	2	8	1	3	12	3	1	0	3	4
C86	6	2	4	4	4	4	2	4	1	1	1	2	1	4	3	1	1	2	1	4	5	2	4	2	2	8	1	1	1	8	12
I87	56	2	1	2	3	2	0	6	1	1	1	1	1	0	0	0	0	0	0	3	0	0	1	0	2	2	2	3	2	3	4
C13	4	1	1	3	4	5	2	9	1	1	1	1	2	3	6	3	4	4	2	2	2	3	1	1	3	18	0	0	1	2	6
S16	2	1	1	2	3	2	3	2	3	2	2	2	1	13	2	1	2	1	1	3	1	1	1	1	3	17	4	1	2	1	6
A22B	2	1	1	3	2	2	1	5	1	1	2	2	2	6	5	6	2	3	0	3	3	1	5	1	2	10	4	1	1	2	1
C69	0	0	0	0	0	0	2	7	0	0	0	0	1	8	1	5	3	5	1	9	4	5	6	1	5	8	9	2	0	1	3
C83	3	2	2	2	2	4	4	4	2	2	1	1	2	6	3	5	3	3	3	3	3	3	2	2	4	4	1	1	2	4	2
M20A	4	1	2	4	4	4	1	5	5	1	3	3	2	5	1	2	2	2	1	1	1	1	1	1	2	7	4	1	7	1	1
C02A	6	2	1	0	4	4	3	7	3	2	1	2	3	4	6	1	2	2	2	6	3	3	5	2	0	1	0	2	6	5	0
M48A	7	1	4	2	3	4	1	5	1	1	1	1	2	4	4	2	3	4	1	1	1	1	4	1	5	3	2	1	2	8	2
M28A	2	1	1	1	2	2	3	5	7	4	5	2	2	6	3	2	2	4	0	1	2	2	2	1	2	5	3	1	7	1	2
C54	6	1	5	3	4	8	1	2	1	1	1	1	2	5	6	3	3	0	2	2	2	2	1	1	5	4	0	1	1	2	2
T05	3	0	2	2	4	7	2	3	1	1	1	1	1	2	2	3	2	3	0	1	1	1	2	1	3	8	7	1	1	9	2
C40	6	5	2	6	8	9	1	8	0	0	0	0	2	7	1	0	0	0	0	2	0	0	0	2	1	6	4	1	0	3	3
T02	3	1	2	3	5	4	1	3	1	1	1	1	1	4	6	1	2	2	1	4	2	2	1	1	4	4	2	1	2	2	1
C65	2	1	2	3	3	2	7	2	1	1	1	1	2	16	3	1	2	2	1	2	1	1	2	1	3	4	0	0	1	2	1
S49A	5	1	3	2	4	4	1	5	0	1	0	1	1	2	4	1	0	2	0	5	0	1	2	1	2	4	1	1	0	4	3
C85B	2	1	1	2	2	2	1	6	2	1	1	1	1	2	2	1	2	2	2	5	2	3	1	1	2	0	0	0	1	4	2
C85A	2	1	1	2	2	3	3	2	1	2	2	2	1	3	3	1	2	2	1	1	1	3	3	1	3	3	0	1	2	0	2
S12	0	0	0	0	0	0	0	0	6	5	2	16	0	0	0	0	0	0	0	0	0	0	0	0	1	14	7	0	13	0	0
T01X	1	1	0	0	0	1	2	4	3	0	1	1	1	3	1	3	2	5	1	3	1	2	3	1	2	5	2	1	1	1	3
M14B	0	3	0	0	0	0	0	3	2	3	1	0	4	7	1	0	0	0	2	1	1	2	1	3	0	4	3	2	1	2	1
M20B	2	1	1	2	2	2	0	0	0	0	0	0	0	0	0	6	5	4	1	5	1	1	7	0	0	0	0	0	0	2	6
S01A	0	0	0	0	0	0	1	0	0	0	2	12	0	0	28	1	0	0	0	0	0	0	0	0	0	10	1	0	0	0	2
C97	3	1	1	0	1	3	3	2	1	1	1	1	1	5	1	0	1	0	1	1	1	6	1	1	0	0	0	1	1	2	4
C50	1	1	1	1	1	5	1	4	1	1	1	1	1	1	1	1	0	2	1	2	2	3	3	1	1	2	2	1	1	1	1
M79	3	2	1	1	0	2	1	0	1	1	1	1	2	5	2	2	2	2	0	2	1	1	1	1	2	3	0	1	0	0	0
M67C	2	1	1	4	2	3	0	2	0	1	1	0	2	4	4	0	1	1	1	1	1	1	3	1	0	3	0	1	0	3	1
C01A	0	0	7	0	0	0	4	7	3	0	1	0	0	1	13	0	0	0	1	1	0	4	1	0	0	1	0	0	0	0	0
S26A	3	1	1	2	1	2	2	1	2	2	2	1	0	1	1	0	2	0	0	0	2	1	1	1	2	2	1	0	2	4	2
S01C	0	0	0	0	0	0	0	0	3	3	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	0	3	0	0
P01	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	2	1	1	1	1	1	1	0	3	7	4	1	0	0	0
T03	0	0	0	0	0	0	0	0	2	2	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	9	7	0	2	0	0
M50B	0	0	0	0	0	4	4	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	5	3	0	0	0	0
M14A	0	0	0	0	0	0	0	0	4	3	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1
M20X	0	0	0	0	0	0	0	0	0	0	0	1	0	2	16	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
M28X	0	0	0	1	1	0	0	0	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
I43	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	1
M50A	0	0	1	0	0	3	0	0	1	2	1	0	2	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0
M50	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	2	1	0	5	0	0	0	0	0
M14D	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	1	0	0	0	0	1	0	1	0	1	0	0	0
C15	0	1	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	6	1	0	0	0	0
S28	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
S66	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0
M48C	0	0	0	0	0	0	0	0	3	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
M12B	3	0	0	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
M80	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
M76	0	0	0	0	0	0	0	0	2	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
M28E	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
S13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0
N10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0
M10A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
U72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0
A11A	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	2	0	0	0	0
U62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M19	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
M48B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0
M20F	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
M42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M03B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S41A	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I32	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
S11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
I25B	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
M29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C01B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02	0	0	0	0	0	0	0	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0
M32	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M28B	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0
I93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
M26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M49	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I51	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I02	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
M67B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
I39	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
A01B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M23B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
C14A	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
I31	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
S15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S49B	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M43B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
A02A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M15D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
M12A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M87	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
S53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S49	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M55	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C60B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
U73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M98	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I03A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M88	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S09D	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
I25A	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M15B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
I42	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
