DOMAIN	Anaeromyces-like_sp_C3J_Trinity	Anaeromyces_robustus_S4	Anaeromyces_sp_C3G_Trinity	Anaeromyces_sp_G3G_Trinity	Anaeromyces_sp_Na_Trinity	Anaeromyces_sp_O2_Trinity	Caecomyces_sp_Brit4_Trinity	Caecomyces_sp_Iso3_Trinity	Chytriomyces_sp_MP71	Entophlyctis_helioformis_JEL805	Gaertneriomyces_semiglobifer_Barr_43	Gonapodya_prolifera_JEL478	Neocallimastix_californiae_G1	Neocallimastix_frontalis_Hef5_Trinity	Neocallimastix_sp_G3_Trinity	Orpinomyces_sp_D3A_Trinity	Orpinomyces_sp_D3B_Trinity	Orpinomyces_sp_D4C_Trinity	Pecoramyces_ruminantium_C1A	Pecoramyces_sp_FS3C_Trinity	Pecoramyces_sp_FX4B_Trinity	Pecoramyces_sp_S4B_Trinity	Pecoramyces_sp_YC3_Trinity	Piromyces_finnis	Piromyces_sp_A1_Trinity	Piromyces_sp_B4_Trinity	Piromyces_sp_B5_Trinity	Piromyces_sp_E2	Rhizoclosmatium_globosum_primary	Feramyces_austinii_WSF2c_Trinity	Feramyces_austinii_WSF3a_Trinity
CBM18.hmm	541	385	257	404	418	511	628	1315	7	4	7	20	492	1108	516	370	383	442	468	923	871	859	983	258	991	1012	858	581	1	883	826
CBM1.hmm	181	70	85	124	159	172	80	161	12	0	0	18	132	150	93	68	91	86	84	128	91	91	110	82	145	148	121	91	0	134	143
CE4.hmm	145	49	39	166	163	165	48	107	18	17	13	22	86	197	98	53	76	80	46	90	97	113	103	43	109	110	85	45	14	96	114
CE1.hmm	100	45	47	70	85	95	74	123	16	13	13	11	83	145	57	28	61	34	59	77	64	65	79	28	94	161	133	55	14	62	53
CBM13.hmm	131	73	70	85	118	187	20	54	25	8	1	0	55	55	21	15	64	32	34	77	50	67	58	22	134	77	66	27	6	48	53
CE10.hmm	71	45	38	71	93	98	20	58	29	31	18	45	72	89	53	29	36	23	55	51	69	84	71	32	57	115	95	58	23	54	61
GH11.hmm	31	33	20	43	71	41	23	59	0	0	0	0	28	42	40	10	27	10	46	73	50	37	55	42	65	164	143	69	0	56	76
GH43.hmm	74	18	30	51	114	103	41	70	0	0	0	1	46	48	27	17	70	38	23	36	39	55	41	13	35	62	70	31	0	40	36
GH5.hmm	37	26	22	21	27	40	21	39	19	6	9	12	66	118	100	27	27	20	42	31	28	39	38	27	44	54	43	43	19	78	58
CBM29.hmm	138	2	10	165	83	159	23	50	0	0	0	0	16	29	10	18	19	26	13	22	34	28	23	20	43	82	83	14	0	21	18
CBM26.hmm	12	21	8	34	8	21	10	9	0	0	0	0	10	40	7	80	120	200	27	55	58	172	62	1	8	8	16	13	0	40	41
GT2.hmm	41	27	17	18	31	34	16	31	23	17	17	12	51	84	40	21	24	19	23	55	51	39	42	22	16	83	112	23	21	41	32
GH114.hmm	58	19	20	12	47	59	15	36	0	0	1	9	21	53	29	9	11	8	11	23	22	19	20	24	121	89	87	78	2	28	27
GH6.hmm	30	13	16	19	27	27	26	30	0	0	0	0	26	46	26	16	42	40	44	51	63	50	76	21	60	31	40	33	0	49	54
GH10.hmm	61	15	17	17	20	32	9	38	0	0	0	1	61	64	35	10	35	15	25	39	47	38	38	20	25	57	71	27	0	38	36
