DOMAIN	Anaeromyces-like_sp_C3J_Trinity	Anaeromyces_robustus_S4	Anaeromyces_sp_C3G_Trinity	Anaeromyces_sp_G3G_Trinity	Anaeromyces_sp_Na_Trinity	Anaeromyces_sp_O2_Trinity	Caecomyces_sp_Brit4_Trinity	Caecomyces_sp_Iso3_Trinity	Chytriomyces_sp_MP71	Entophlyctis_helioformis_JEL805	Gaertneriomyces_semiglobifer_Barr_43	Gonapodya_prolifera_JEL478	Neocallimastix_californiae_G1	Neocallimastix_frontalis_Hef5_Trinity	Neocallimastix_sp_G3_Trinity	Orpinomyces_sp_D3A_Trinity	Orpinomyces_sp_D3B_Trinity	Orpinomyces_sp_D4C_Trinity	Pecoramyces_ruminantium_C1A	Pecoramyces_sp_FS3C_Trinity	Pecoramyces_sp_FX4B_Trinity	Pecoramyces_sp_S4B_Trinity	Pecoramyces_sp_YC3_Trinity	Piromyces_finnis	Piromyces_sp_A1_Trinity	Piromyces_sp_B4_Trinity	Piromyces_sp_B5_Trinity	Piromyces_sp_E2	Rhizoclosmatium_globosum_primary	Feramyces_austinii_WSF2c_Trinity	Feramyces_austinii_WSF3a_Trinity
GT17.hmm	13	12	11	7	7	10	8	17	1	1	1	1	10	16	20	4	5	3	4	10	8	5	5	5	8	23	25	12	7	6	9
CE12.hmm	17	7	9	19	22	20	5	10	3	1	1	1	8	9	13	14	13	12	2	14	5	7	9	7	17	12	8	7	5	10	12
CBM50.hmm	5	4	3	4	4	5	7	14	3	0	3	9	4	13	20	4	5	7	5	10	5	5	4	4	17	44	15	6	4	10	14
GH1.hmm	11	6	8	5	16	10	6	8	5	0	0	1	16	29	12	6	14	5	6	10	27	5	9	10	16	11	10	10	4	11	11
CBM48.hmm	19	4	9	13	15	22	3	8	1	1	3	2	8	21	8	30	8	18	4	8	8	9	8	4	8	14	9	4	1	7	7
GT8.hmm	11	4	6	8	12	21	6	13	18	1	1	4	11	18	12	8	7	8	2	9	5	5	10	5	9	17	11	5	16	8	4
CE3.hmm	20	3	6	9	11	16	13	57	5	0	0	3	8	8	1	3	5	4	8	9	8	6	9	0	9	11	13	4	9	9	9
GT22.hmm	14	3	10	12	15	14	7	22	3	3	3	3	6	22	8	8	7	7	5	21	16	6	10	4	4	19	8	4	3	8	13
CE2.hmm	8	11	6	2	3	5	13	35	0	0	0	0	8	31	9	1	4	2	5	10	6	14	9	1	9	7	14	13	0	10	8
PL3.hmm	4	1	1	1	4	2	2	4	0	0	0	3	30	30	25	3	6	3	7	15	11	15	7	3	12	4	6	6	0	30	28
GH26.hmm	6	3	5	4	4	3	4	11	22	7	4	19	13	9	7	2	2	2	1	5	12	8	12	4	8	13	9	5	16	16	8
CE8.hmm	6	5	5	6	5	11	2	5	0	0	0	5	14	26	13	0	2	1	8	9	8	5	5	5	5	10	4	8	0	14	5
GH47.hmm	7	4	11	6	11	8	0	14	9	5	1	5	6	16	16	2	5	4	1	8	5	3	5	1	4	11	3	2	8	5	6
GT32.hmm	7	2	3	6	5	6	2	4	30	6	4	2	3	7	3	14	3	3	1	7	3	3	5	2	5	11	1	2	21	2	5
GT35.hmm	6	1	1	10	8	11	2	2	2	1	1	1	2	6	5	12	14	2	0	5	4	51	4	1	2	7	4	1	1	7	9
CBM35.hmm	3	5	5	2	2	2	5	9	0	0	0	0	8	14	12	3	7	5	1	7	4	4	6	4	7	20	11	5	0	9	10
CBM2.hmm	7	3	4	17	6	6	4	8	0	0	0	1	6	11	6	5	5	4	0	2	3	2	2	2	9	13	14	1	0	10	2
CBM52.hmm	3	4	3	2	2	4	1	3	0	0	0	0	8	4	5	1	2	0	4	3	11	4	7	4	3	3	0	4	0	10	12
GT3.hmm	5	2	3	6	4	8	4	6	1	1	2	2	4	5	2	4	5	6	0	3	4	4	2	2	6	9	34	2	1	2	3
PL4.hmm	7	3	5	5	6	9	4	6	0	0	0	0	13	15	6	2	6	6	3	5	3	5	2	2	2	3	1	9	0	6	9
GH124.hmm	5	2	2	15	4	4	2	6	0	0	0	0	3	9	3	30	13	3	0	2	3	2	2	1	6	5	7	1	0	2	3
GH95.hmm	6	2	2	14	31	30	2	3	0	0	0	0	2	4	0	0	12	1	0	4	0	1	6	1	0	8	12	1	0	0	0
GT10.hmm	2	5	1	2	2	2	2	5	3	0	0	2	4	10	5	6	10	7	3	7	4	4	5	2	5	14	7	2	0	2	3
CBM32.hmm	2	1	0	0	0	0	3	5	2	2	27	1	6	10	4	1	1	0	5	2	3	4	2	1	4	1	2	4	2	3	2
GH8.hmm	2	2	1	2	3	2	4	7	0	0	0	0	2	4	2	4	12	9	1	5	3	2	3	1	10	7	7	2	0	5	7
GH25.hmm	2	1	5	2	3	2	9	17	0	0	0	0	2	12	1	0	0	0	4	6	12	4	5	4	9	6	12	3	0	1	1
GH53.hmm	4	2	2	4	4	4	1	2	0	0	0	1	3	8	3	4	20	8	1	2	4	3	6	2	5	9	7	2	0	1	2
GT1.hmm	6	2	2	3	6	7	5	9	4	2	1	2	2	7	2	2	1	2	3	2	6	2	4	1	5	16	6	2	9	3	1
CBM12.hmm	3	1	2	2	3	3	7	7	1	0	1	1	2	4	20	9	8	6	2	3	5	2	2	4	4	7	0	2	0	6	2
GH133.hmm	3	1	1	3	3	5	4	21	1	1	1	1	1	5	3	3	2	5	0	1	2	1	1	1	6	13	3	1	2	4	4
CE15.hmm	2	2	1	2	2	4	4	3	1	0	0	0	6	7	2	5	5	5	0	4	3	2	2	2	9	0	0	3	0	5	4
GH24.hmm	5	2	4	4	5	4	4	7	0	0	0	0	1	7	0	3	2	3	3	1	2	1	2	7	0	10	9	3	0	4	3
GH20.hmm	8	1	4	1	9	5	2	9	6	2	2	2	2	7	1	0	0	1	1	4	1	7	1	1	0	14	0	1	12	0	2
GT24.hmm	8	0	3	5	4	7	3	5	1	1	1	1	1	3	2	3	3	3	1	6	4	4	3	1	2	9	3	1	1	4	2
GT31.hmm	2	1	1	1	3	3	1	2	19	6	2	1	1	2	1	2	1	1	0	1	1	1	1	1	4	2	0	0	29	1	3
GH2.hmm	9	1	4	5	9	7	0	5	3	0	1	2	7	1	0	1	2	2	1	3	0	0	0	1	0	6	7	1	2	3	1
GH109.hmm	2	0	1	4	15	2	4	3	5	1	1	4	2	3	2	0	1	0	0	3	1	2	2	0	5	8	5	1	3	0	0
GT66.hmm	3	1	2	5	3	3	2	3	1	1	1	1	1	7	2	2	3	1	1	5	0	11	0	1	3	3	2	1	1	1	1
GH32.hmm	3	2	2	1	4	3	0	0	0	0	0	1	11	8	3	1	2	5	1	2	5	2	1	0	0	0	0	2	0	6	8
GT92.hmm	5	0	4	1	4	10	2	6	0	2	0	0	4	12	0	0	2	3	1	2	1	0	2	0	2	5	10	0	0	0	0
CE14.hmm	3	1	1	5	2	2	1	4	1	1	2	1	2	3	3	3	2	3	1	1	2	1	2	1	2	10	5	0	1	4	1
CBM20.hmm	7	1	2	2	2	7	0	0	0	0	2	1	3	4	3	0	0	0	4	1	4	2	1	1	3	5	4	2	0	1	1
GH115.hmm	3	1	1	0	2	2	3	10	0	0	0	0	7	4	2	0	1	0	2	2	1	2	0	2	2	4	3	3	0	4	3
GH30.hmm	5	2	3	3	2	3	3	5	1	4	0	2	4	2	2	0	2	0	1	6	2	2	1	1	0	4	2	3	3	2	2
AA2.hmm	0	0	1	0	0	0	0	0	15	6	2	12	0	0	10	0	0	0	0	0	0	0	0	0	0	2	1	0	13	0	0
GT50.hmm	6	2	2	7	4	7	1	2	1	0	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	7	0	1	1	0	5
GH39.hmm	4	3	1	0	1	0	0	3	0	0	0	0	5	2	0	4	5	3	2	5	3	8	4	2	0	3	1	3	0	0	1
CBM61.hmm	6	1	2	2	3	6	2	3	0	0	0	0	5	1	1	1	2	2	1	1	3	2	2	1	1	0	0	1	0	3	3
GH67.hmm	3	0	1	3	3	2	1	21	0	0	0	0	0	0	0	0	0	0	0	1	1	2	8	0	4	6	4	1	0	0	0
GT33.hmm	2	1	1	0	1	2	1	3	1	1	1	1	1	3	1	2	2	3	0	3	3	1	3	1	3	2	0	0	1	8	4
GH38.hmm	6	2	2	0	2	3	1	2	2	1	1	1	1	3	2	0	1	4	0	4	3	3	3	1	0	2	1	1	3	3	1
AA6.hmm	1	1	0	0	0	1	1	2	1	2	1	0	2	4	3	0	0	0	0	2	3	1	3	3	4	4	1	1	2	1	1
GH64.hmm	3	1	1	3	2	3	1	1	0	0	0	0	4	2	3	0	0	0	2	1	1	2	2	1	0	0	2	1	0	4	5
GT58.hmm	2	1	1	2	2	3	2	6	1	1	1	1	1	2	1	1	1	1	0	2	2	2	3	1	4	0	0	0	1	0	4
GH37.hmm	0	1	0	0	0	0	0	2	1	1	1	2	1	4	2	0	0	0	2	1	1	1	1	1	2	0	2	1	1	1	2
CBM66.hmm	2	2	1	0	2	3	0	0	0	0	0	0	0	2	0	2	2	1	3	0	3	2	1	0	0	0	0	1	0	6	6
AA4.hmm	2	1	1	2	2	2	1	2	0	2	0	7	1	7	1	2	1	2	0	1	1	1	1	1	1	1	1	1	0	1	1
GT28.hmm	2	1	2	0	2	3	1	3	1	2	1	1	2	2	2	1	2	1	1	1	1	1	1	1	2	2	2	0	2	2	1
CBM22.hmm	5	1	3	4	5	4	1	3	0	0	0	0	1	0	1	0	0	1	0	1	2	2	1	1	1	0	0	0	0	3	1
GT76.hmm	3	1	1	0	0	4	1	3	1	1	1	1	1	3	2	0	2	2	1	2	1	1	1	1	1	0	0	1	1	0	4
PL9.hmm	13	1	1	3	16	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT90.hmm	0	0	0	0	0	0	0	0	23	3	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
GT15.hmm	2	1	3	1	1	3	0	0	0	0	1	3	1	3	1	0	1	0	1	2	1	1	1	1	1	3	1	1	0	3	3
GH78.hmm	2	1	1	1	1	0	1	2	0	0	0	3	1	0	0	0	0	0	2	1	1	1	2	0	0	6	6	1	0	0	0
GH105.hmm	0	0	0	0	0	0	0	0	0	0	0	2	2	3	2	1	1	1	0	1	1	1	1	1	4	0	2	2	0	2	1
GT41.hmm	3	2	2	0	0	3	0	0	0	0	0	1	3	5	2	0	0	0	1	1	4	1	0	1	0	1	0	2	0	0	0
AA7.hmm	0	0	0	0	0	0	0	0	4	1	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	4	0	0
GH76.hmm	0	0	0	0	0	0	0	0	13	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	11	2	0
GH28.hmm	0	0	0	0	0	0	0	0	3	0	0	13	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	1	1	1	0
GH120.hmm	2	1	3	3	5	5	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0
AA3.hmm	0	0	0	0	0	0	0	0	3	3	2	5	0	0	1	0	0	0	0	0	0	0	0	0	0	7	1	0	3	0	0
CBM5.hmm	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
GT23.hmm	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	2	1	2	3	1	1	2	0	1	0	1	1
CBM8.hmm	0	1	0	0	0	0	0	2	0	0	0	0	1	3	0	0	0	0	0	1	1	0	1	0	0	1	0	2	0	6	2
GT6.hmm	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	7	2	0	1	3
GT69.hmm	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	2	5	1	0	0	0
GH19.hmm	0	0	0	0	0	0	0	0	8	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
GH15.hmm	0	0	0	0	0	0	0	0	3	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	5	0	0
CBM67.hmm	0	1	1	0	0	0	1	2	0	0	0	1	1	0	0	0	0	0	2	0	0	1	0	0	0	2	3	1	0	0	0
CBM4.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH108.hmm	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
GH73.hmm	0	0	0	0	0	0	8	8	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT14.hmm	0	0	0	0	0	0	0	0	2	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1
CE5.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	0	0	0	0
CBM40.hmm	2	1	0	6	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GT64.hmm	0	0	0	0	0	0	0	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
GT21.hmm	0	1	0	0	0	0	0	0	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1
AA11.hmm	0	0	0	0	0	0	0	0	3	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
AA5.hmm	0	0	0	0	0	0	0	0	3	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
GH46.hmm	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
GT87.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0
GH65.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0
GH35.hmm	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
CE9.hmm	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2	0	0
GT57.hmm	0	0	0	0	0	0	0	0	2	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
GH77.hmm	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
CE7.hmm	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	1	0	1	0	0	1	0	0	0	0	0
GH128.hmm	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0	1	1
AA1.hmm	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
GH7.hmm	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH117.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3	0	0	2	0	0	0	0	0
GT47.hmm	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GT5.hmm	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0
GT77.hmm	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
GT51.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0
GH92.hmm	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0
AA12.hmm	0	0	0	0	0	0	0	0	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CBM41.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT59.hmm	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
GT11.hmm	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
CBM14.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM34.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0
PL11.hmm	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH55.hmm	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GH135.hmm	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GH23.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0
PL7.hmm	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
CBM9.hmm	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
PL14.hmm	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH63.hmm	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GH4.hmm	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GT61.hmm	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GH27.hmm	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
GH130.hmm	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AA9.hmm	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLH.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
GT85.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
GH97.hmm	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
GT37.hmm	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GT60.hmm	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PL15.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
GT68.hmm	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CBM47.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GT25.hmm	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM39.hmm	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT89.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
GT13.hmm	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH125.hmm	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT12.hmm	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GT43.hmm	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
GH36.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM36.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GH84.hmm	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH79.hmm	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GT83.hmm	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
