DOMAIN	Anaeromyces-like_sp_C3J_Trinity	Anaeromyces_robustus_S4	Anaeromyces_sp_C3G_Trinity	Anaeromyces_sp_G3G_Trinity	Anaeromyces_sp_Na_Trinity	Anaeromyces_sp_O2_Trinity	Caecomyces_sp_Brit4_Trinity	Caecomyces_sp_Iso3_Trinity	Chytriomyces_sp_MP71	Entophlyctis_helioformis_JEL805	Gaertneriomyces_semiglobifer_Barr_43	Gonapodya_prolifera_JEL478	Neocallimastix_californiae_G1	Neocallimastix_frontalis_Hef5_Trinity	Neocallimastix_sp_G3_Trinity	Orpinomyces_sp_D3A_Trinity	Orpinomyces_sp_D3B_Trinity	Orpinomyces_sp_D4C_Trinity	Pecoramyces_ruminantium_C1A	Pecoramyces_sp_FS3C_Trinity	Pecoramyces_sp_FX4B_Trinity	Pecoramyces_sp_S4B_Trinity	Pecoramyces_sp_YC3_Trinity	Piromyces_finnis	Piromyces_sp_A1_Trinity	Piromyces_sp_B4_Trinity	Piromyces_sp_B5_Trinity	Piromyces_sp_E2	Rhizoclosmatium_globosum_primary	Feramyces_austinii_WSF2c_Trinity	Feramyces_austinii_WSF3a_Trinity
CBM18.hmm	314	146	161	236	253	310	285	739	6	3	4	11	201	622	313	194	212	243	194	446	445	474	501	105	507	527	439	262	1	416	415
CBM1.hmm	177	67	83	123	154	163	77	158	8	0	0	13	129	146	88	67	90	85	82	124	88	85	105	70	139	141	111	83	0	121	139
CE4.hmm	145	49	39	166	163	164	48	107	18	17	13	22	86	197	98	52	76	80	46	90	97	112	103	43	109	110	84	45	14	96	114
CE1.hmm	100	45	46	70	85	95	74	123	16	13	13	11	80	143	55	28	61	34	53	77	64	63	79	28	94	160	133	54	14	62	53
CBM13.hmm	100	39	54	80	107	158	19	52	13	7	1	0	48	50	18	15	62	32	30	73	46	65	54	21	133	71	63	22	4	43	44
CE10.hmm	71	44	38	71	93	98	20	58	28	31	18	44	72	89	53	29	36	23	55	51	69	84	71	32	57	115	95	58	23	54	61
GH11.hmm	31	29	20	43	71	41	22	53	0	0	0	0	24	40	39	10	27	10	39	67	47	34	53	36	65	147	141	55	0	54	76
GH43.hmm	74	18	30	51	114	103	41	70	0	0	0	1	42	48	27	17	70	38	22	35	39	55	39	13	35	62	70	30	0	40	36
GH5.hmm	34	26	22	20	24	38	21	39	18	6	9	12	59	118	99	27	27	20	40	31	28	39	37	24	43	54	43	43	19	77	58
CBM29.hmm	69	2	6	79	42	80	11	32	0	0	0	0	8	17	6	14	14	22	8	13	14	19	16	7	28	64	75	6	0	13	13
CBM26.hmm	12	15	7	34	8	21	7	8	0	0	0	0	9	36	7	74	115	142	26	49	48	166	54	1	6	7	15	9	0	38	37
GT2.hmm	41	27	17	18	31	34	16	31	23	17	17	12	51	84	40	21	24	19	23	55	51	39	42	22	16	83	112	23	21	41	32
GH114.hmm	58	19	20	12	47	59	15	36	0	0	1	9	21	53	29	9	11	8	11	23	22	19	20	24	120	89	87	78	2	28	27
GH6.hmm	30	12	16	19	27	27	26	30	0	0	0	0	25	46	26	16	42	39	44	51	62	48	72	21	60	31	40	33	0	49	54
GH10.hmm	61	15	17	17	20	32	9	38	0	0	0	1	58	64	35	10	35	15	25	39	47	38	38	20	25	57	71	27	0	38	36
GH45.hmm	43	12	15	19	67	34	22	36	0	0	0	3	23	47	26	50	72	39	13	42	29	36	25	12	51	54	32	19	0	33	55
GH3.hmm	23	15	22	33	16	23	9	21	7	0	0	3	45	41	27	20	16	16	15	20	25	25	35	15	30	48	32	24	3	41	32
GT34.hmm	47	14	23	32	29	49	15	17	0	4	0	1	16	50	16	11	14	11	14	26	40	34	32	15	35	30	19	5	13	16	20
GH9.hmm	31	9	16	35	28	82	13	27	1	0	1	1	13	32	15	16	27	31	9	38	20	14	23	12	27	55	28	12	1	24	21
GH18.hmm	6	11	6	7	10	7	18	77	38	4	9	15	16	67	48	2	4	3	9	27	21	17	19	9	33	44	47	12	49	20	18
GH13.hmm	21	11	11	49	19	28	7	18	3	2	10	1	12	45	21	23	51	75	8	19	19	22	15	5	17	34	32	7	1	20	10
CE16.hmm	22	10	10	23	14	16	7	28	9	0	4	3	27	61	26	17	6	12	17	22	23	20	20	8	54	64	36	13	9	38	24
CBM25.hmm	11	9	4	4	5	8	1	3	0	0	0	0	4	13	7	56	56	115	13	28	26	122	31	1	0	2	2	7	0	28	20
PL1.hmm	12	5	7	5	10	16	1	4	0	0	0	6	32	31	24	33	29	83	18	21	20	23	20	10	19	3	6	16	0	30	25
GT4.hmm	29	7	12	20	25	26	10	18	15	6	7	9	10	27	20	28	41	32	6	11	10	19	12	7	16	30	41	7	13	14	18
GH16.hmm	25	11	12	9	20	23	10	18	3	11	1	11	19	26	18	10	12	13	5	26	23	15	13	6	20	25	24	7	9	32	41
CBM6.hmm	17	5	12	19	68	58	25	42	0	0	0	0	18	8	9	4	47	13	4	15	12	24	13	6	19	12	14	13	0	12	9
CE6.hmm	21	11	9	20	19	21	11	67	0	0	0	0	14	25	11	11	18	9	8	17	15	18	14	10	22	26	29	18	0	26	21
GT39.hmm	24	6	14	25	19	39	15	28	12	3	3	4	12	41	23	11	12	13	7	15	12	35	14	6	18	58	6	6	6	5	11
CBM21.hmm	11	6	7	10	39	13	7	15	4	1	4	6	11	38	19	7	11	9	4	14	12	14	14	7	10	22	37	4	2	8	13
GH48.hmm	10	7	8	5	7	10	11	16	0	0	0	0	21	32	4	9	10	14	12	22	39	17	40	13	15	21	27	11	0	19	30
CBM10.hmm	13	4	9	17	11	15	8	18	0	0	0	0	4	48	68	7	10	8	12	6	6	7	6	3	26	27	35	4	0	13	17
CBM63.hmm	20	8	9	10	44	26	5	11	0	0	0	0	8	25	21	8	8	9	7	22	14	29	16	4	23	16	17	5	0	16	12
GT71.hmm	13	12	9	9	8	14	4	22	21	5	0	9	17	32	9	4	4	5	8	13	9	14	19	7	17	28	26	12	21	15	14
GH74.hmm	8	2	8	6	7	21	4	9	0	1	1	0	6	18	9	4	7	5	2	7	8	5	5	4	10	12	12	5	1	4	7
GH31.hmm	17	6	7	12	18	24	6	10	2	2	1	4	9	31	8	32	18	23	13	22	16	17	23	2	5	10	4	4	5	12	19
GT20.hmm	20	5	8	22	9	26	5	15	4	3	3	3	7	19	16	47	6	4	5	9	11	9	9	5	22	15	4	5	4	4	4
